from_group,to_group,from_poi,to_poi,gap_min,n_shared,jaccard,members
3717,3909,7669,9031,26,2,1.0,1304|6680
3907,1853,9031,1530,24,2,1.0,1304|6680
3908,3580,9031,6441,63,2,1.0,1304|6680
3909,1201,9031,1043,30,2,1.0,1304|6680
3909,1606,9031,1141,159,2,1.0,1304|6680
4395,2442,12299,2874,147,2,1.0,1304|6680
4501,3314,13081,4828,126,2,1.0,1304|6680
4501,4384,13081,12174,140,2,1.0,1304|6680
3367,3520,4976,5957,74,2,1.0,739|6706
3414,4172,5374,10818,128,2,1.0,3230|6486
4473,4587,12770,13524,72,2,1.0,3230|6486
4587,3839,13524,8553,191,2,1.0,3230|6486
3722,4479,7695,12857,54,2,1.0,3113|5103
4297,3722,11557,7695,52,2,1.0,3113|5103
4297,4479,11557,12857,106,2,1.0,3113|5103
1917,82,1627,175,107,2,1.0,4232|6305
88,3396,187,5196,233,2,1.0,174|1887
2378,90,2731,190,213,2,1.0,3731|4935
2378,4174,2731,10836,19,2,1.0,3731|4935
4174,90,10836,190,194,2,1.0,3731|4935
96,3806,212,8366,88,2,0.6667,2410|4188
2285,2116,2450,2084,25,3,0.75,3|2410|4188
914,2761,910,3020,6,2,0.5,1389|4769
99,3805,221,8362,129,2,1.0,2107|4014
1620,1851,1188,1529,67,2,1.0,2107|4014
3372,1620,5013,1188,179,2,1.0,2107|4014
3372,3882,5013,8921,74,2,1.0,2107|4014
3882,1620,8921,1188,105,2,1.0,2107|4014
3882,1851,8921,1529,172,2,1.0,2107|4014
1814,103,1490,227,205,2,0.6667,475|5405
562,3385,653,5127,61,2,1.0,66|6123
562,3761,653,7921,186,2,1.0,66|6123
3385,3761,5127,7921,125,2,1.0,66|6123
4453,109,12700,247,44,2,1.0,468|4934
110,3971,252,9580,124,2,0.6667,618|753
3411,810,5335,902,25,3,0.5,753|973|6062
2208,3318,2374,4854,128,2,1.0,3906|4551
137,1919,336,1635,194,3,0.75,512|679|2185
125,2871,296,3468,67,2,1.0,4381|5974
3376,3661,5040,7364,54,2,1.0,99|290
3467,3662,5520,7364,7,2,1.0,99|290
3470,3666,5520,7364,2,2,1.0,99|290
3472,3668,5520,7364,6,2,1.0,99|290
3660,3376,7364,5040,71,2,1.0,99|290
3902,2183,9003,2286,72,2,1.0,1968|4413
2814,3501,3244,5740,71,2,1.0,2874|5577
146,2867,359,3446,76,2,1.0,2853|2854
2819,4043,3254,10042,72,2,1.0,2853|2854
2821,4044,3254,10042,52,2,1.0,2853|2854
3027,4027,4180,9973,150,2,1.0,2853|2854
3889,4041,8938,10042,26,2,1.0,2853|2854
3925,3500,9146,5723,160,2,1.0,2853|2854
4027,3521,9973,5964,184,2,1.0,2853|2854
4378,2821,12130,3254,215,2,1.0,2853|2854
4452,4214,12678,11076,153,2,1.0,947|5573
509,158,641,394,76,2,1.0,4107|4297
1712,3789,1315,8255,126,2,1.0,4107|4297
3789,2872,8255,3479,169,2,1.0,4107|4297
2024,3774,1868,8042,55,2,0.6667,1831|2070
4262,3285,11334,4703,7,2,0.6667,5367|5988
265,2176,497,2266,240,2,1.0,1647|4626
3041,3979,4306,9623,198,2,1.0,4208|5492
4069,1994,10293,1774,58,2,1.0,500|4496
3423,291,5472,507,201,2,1.0,3647|4505
3990,291,9696,507,219,2,1.0,3647|4505
3990,3423,9696,5472,18,2,1.0,3647|4505
3739,3941,7777,9245,66,2,1.0,2486|4750
299,324,512,542,58,2,1.0,5059|6495
3532,3483,6109,5578,133,2,1.0,5059|6495
333,4422,556,12535,238,2,1.0,3509|5442
338,4234,575,11243,134,2,1.0,3509|5442
3987,2878,9693,3499,153,2,1.0,3509|5442
4009,2878,9873,3499,167,2,0.6667,3509|5442
4009,3987,9873,9693,14,2,0.6667,3509|5442
4418,306,12518,515,135,2,0.6667,3509|5442
345,468,585,632,47,2,1.0,3294|4394
346,487,585,632,35,2,1.0,3294|4394
4736,2307,14034,2506,228,2,1.0,3544|6099
2428,4545,2841,13381,11,2,1.0,1725|4426
335,2883,564,3540,104,2,1.0,2718|3636
2929,4197,3761,11011,107,2,1.0,2718|3636
416,4051,627,10090,42,2,1.0,1078|2602
1810,3408,1480,5313,94,2,1.0,1078|2602
2811,416,3238,627,45,2,1.0,1078|2602
2811,4051,3238,10090,87,2,1.0,1078|2602
3003,416,4115,627,73,2,1.0,1078|2602
3003,2811,4115,3238,28,2,1.0,1078|2602
3003,4051,4115,10090,115,2,1.0,1078|2602
4336,2831,11790,3293,133,2,0.5,2764|5713
563,4336,653,11790,79,2,0.5,341|1695
3011,563,4135,653,117,2,1.0,341|1695
3011,4336,4135,11790,196,2,0.5,341|1695
3035,3591,4281,6619,77,2,1.0,48|1648
499,591,636,691,65,2,1.0,1948|3451
3488,674,5604,811,26,2,1.0,5435|5741
4287,3488,11483,5604,215,2,1.0,5435|5741
550,1755,653,1373,83,2,1.0,2952|6153
550,3078,653,4455,17,2,1.0,2952|6153
3078,1755,4455,1373,66,2,1.0,2952|6153
552,1822,653,1502,26,2,1.0,1611|6333
552,2830,653,3293,49,2,0.6667,1611|6333
552,3272,653,4614,69,2,1.0,1611|6333
552,3513,653,5895,122,2,1.0,1611|6333
552,4495,653,13056,108,2,1.0,1611|6333
1757,552,1373,653,37,2,1.0,1611|6333
1757,1822,1373,1502,63,2,1.0,1611|6333
1757,2830,1373,3293,86,2,0.6667,1611|6333
1757,2985,1373,4052,9,2,1.0,1611|6333
1757,3272,1373,4614,106,2,1.0,1611|6333
1757,3513,1373,5895,159,2,1.0,1611|6333
1757,4495,1373,13056,145,2,1.0,1611|6333
1765,1821,1373,1501,239,2,1.0,1611|6333
1765,4530,1373,13320,12,2,1.0,1611|6333
1765,4585,1373,13520,171,2,1.0,1611|6333
1765,4619,1373,13620,34,2,1.0,1611|6333
1822,2830,1502,3293,23,2,0.6667,1611|6333
1822,3272,1502,4614,43,2,1.0,1611|6333
1822,3513,1502,5895,96,2,1.0,1611|6333
1822,4495,1502,13056,82,2,1.0,1611|6333
2314,3310,2521,4821,50,2,1.0,1611|6333
2830,3272,3293,4614,20,2,0.6667,1611|6333
2830,3513,3293,5895,73,2,0.6667,1611|6333
2830,4495,3293,13056,59,2,0.6667,1611|6333
2985,552,4052,653,28,2,1.0,1611|6333
2985,1822,4052,1502,54,2,1.0,1611|6333
2985,2830,4052,3293,77,2,0.6667,1611|6333
2985,3272,4052,4614,97,2,1.0,1611|6333
2985,3513,4052,5895,150,2,1.0,1611|6333
2985,4495,4052,13056,136,2,1.0,1611|6333
3015,1765,4135,1373,12,2,1.0,1611|6333
3015,4530,4135,13320,24,2,1.0,1611|6333
3015,4585,4135,13520,183,2,1.0,1611|6333
3015,4619,4135,13620,46,2,1.0,1611|6333
3272,3513,4614,5895,53,2,1.0,1611|6333
3272,4495,4614,13056,39,2,1.0,1611|6333
3529,1760,6058,1373,14,2,0.6667,1611|6333
3530,573,6058,653,39,2,1.0,1611|6333
3765,552,7948,653,59,2,1.0,1611|6333
3765,1757,7948,1373,22,2,1.0,1611|6333
3765,1822,7948,1502,85,2,1.0,1611|6333
3765,2830,7948,3293,108,2,0.6667,1611|6333
3765,2985,7948,4052,31,2,1.0,1611|6333
3765,3272,7948,4614,128,2,1.0,1611|6333
3765,3513,7948,5895,181,2,1.0,1611|6333
3765,4495,7948,13056,167,2,1.0,1611|6333
4495,3513,13056,5895,14,2,1.0,1611|6333
4530,1821,13320,1501,227,2,1.0,1611|6333
4530,4585,13320,13520,159,2,1.0,1611|6333
4530,4619,13320,13620,22,2,1.0,1611|6333
4585,1821,13520,1501,68,2,1.0,1611|6333
4619,1821,13620,1501,205,2,1.0,1611|6333
4619,4585,13620,13520,137,2,1.0,1611|6333
1775,581,1373,653,200,2,0.6667,854|3163
1825,559,1509,653,100,2,1.0,480|866
1825,1828,1509,1511,90,2,1.0,480|866
1825,1829,1509,1512,51,2,1.0,480|866
1828,559,1511,653,10,2,1.0,480|866
1829,559,1512,653,49,2,1.0,480|866
1829,1828,1512,1511,39,2,1.0,480|866
2983,559,4048,653,133,2,1.0,480|866
2983,1825,4048,1509,33,2,1.0,480|866
2983,1828,4048,1511,123,2,1.0,480|866
2983,1829,4048,1512,84,2,1.0,480|866
3010,559,4135,653,212,2,1.0,480|866
3010,1825,4135,1509,112,2,1.0,480|866
3010,1828,4135,1511,202,2,1.0,480|866
3010,1829,4135,1512,163,2,1.0,480|866
3010,2983,4135,4048,79,2,1.0,480|866
3018,1773,4135,1373,27,2,1.0,2261|6123
4583,4528,13517,13320,9,2,0.6667,341|394
4526,4617,13320,13620,94,2,1.0,524|3956
4622,4004,13620,9804,211,2,0.6667,1839|3956
4645,4526,13684,13320,137,2,1.0,524|3956
4645,4617,13684,13620,231,2,1.0,524|3956
1824,566,1503,653,84,2,1.0,2909|3291
575,1823,653,1502,188,2,0.6667,939|1880
2789,2880,3135,3520,29,2,1.0,939|1880
2789,3276,3135,4655,206,2,1.0,939|1880
2880,3276,3520,4655,177,2,1.0,939|1880
3276,4621,4655,13620,223,2,1.0,939|1880
582,3390,653,5182,67,2,1.0,4044|6862
1776,582,1373,653,129,2,1.0,4044|6862
1776,3090,1373,4495,21,2,1.0,4044|6862
1776,3390,1373,5182,196,2,1.0,4044|6862
3019,582,4135,653,151,2,1.0,4044|6862
3019,1776,4135,1373,22,2,1.0,4044|6862
3019,3090,4135,4495,43,2,1.0,4044|6862
3019,3390,4135,5182,218,2,1.0,4044|6862
3090,582,4495,653,108,2,1.0,4044|6862
3090,3390,4495,5182,175,2,1.0,4044|6862
3608,2735,6848,2923,87,2,1.0,5151|5179
4361,621,11996,729,76,2,0.6667,2389|3167
1004,2397,911,2784,123,2,1.0,328|1243
2162,777,2234,891,124,2,1.0,328|1243
3881,1618,8921,1172,43,2,1.0,440|1326
791,3758,901,7919,80,2,0.6667,478|865
1987,2345,1729,2638,47,2,1.0,865|2740
2005,3045,1791,4309,203,2,1.0,2206|2366
4483,4067,12889,10261,81,2,1.0,2206|2366
1052,2010,1027,1817,19,2,1.0,515|524
3770,4616,8002,13599,10,2,1.0,515|524
4513,4615,13165,13599,180,2,1.0,515|524
4529,4712,13320,13893,81,2,0.6667,515|524
4615,4529,13599,13320,66,2,0.6667,515|524
4615,4712,13599,13893,147,2,1.0,515|524
1809,3655,1476,7292,15,2,1.0,2077|2766
1861,2111,1564,2062,205,2,1.0,594|1729
2301,2072,2500,1958,79,2,1.0,594|1729
3766,1710,7960,1306,169,2,1.0,594|1729
1391,2023,1049,1859,211,2,0.5,170|517
1783,2354,1398,2653,95,2,1.0,2771|3027
2067,4151,1926,10635,98,2,1.0,2771|3027
4194,3931,10978,9164,32,2,1.0,1584|6029
4560,1602,13432,1140,39,2,1.0,2731|6136
3776,2037,8042,1868,16,2,1.0,5496|5559
3939,1695,9223,1278,87,2,1.0,4751|6870
3080,2984,4455,4048,40,2,1.0,2225|2261
3388,2341,5159,2624,39,2,1.0,4001|6703
3760,2129,7920,2158,5,2,1.0,2782|2834
3271,3506,4607,5779,45,2,1.0,3712|4844
2198,2459,2346,2887,1,2,1.0,4303|6044
2198,3954,2346,9399,6,2,1.0,4303|6044
2459,3954,2887,9399,5,2,1.0,4303|6044
3297,2198,4758,2346,1,2,1.0,4303|6044
3297,2459,4758,2887,2,2,1.0,4303|6044
3297,3954,4758,9399,7,2,1.0,4303|6044
2271,2328,2411,2564,64,2,1.0,2418|6607
2835,2333,3325,2599,135,2,1.0,535|2596
3311,3623,4824,6967,67,2,1.0,766|6541
4766,3299,14137,4766,10,2,0.6667,2986|6852
3475,4203,5535,11020,10,2,1.0,157|674
4201,3474,11020,5535,236,2,1.0,157|674
3522,4451,5979,12674,122,2,1.0,2597|6807
