u1,u2,n_groups,n_venues,weight_idf
4553,4941,2,2,0.730441
4706,6039,2,2,0.729943
302,1582,1,1,0.721348
6223,6644,1,1,0.721348
462,2496,1,1,0.721348
442,3469,1,1,0.721348
379,778,1,1,0.721348
3619,5937,1,1,0.721348
888,2185,1,1,0.721348
3167,4317,1,1,0.721348
2166,3660,1,1,0.721348
685,3531,1,1,0.721348
2581,3167,2,2,0.721348
3850,6295,1,1,0.721348
334,5972,1,1,0.721348
3333,3904,1,1,0.721348
3106,3345,1,1,0.721348
2775,4446,1,1,0.721348
2317,5869,1,1,0.721348
2575,6516,1,1,0.721348
1831,2668,1,1,0.721348
4822,6083,1,1,0.721348
6099,6387,1,1,0.721348
945,3698,1,1,0.721348
593,4029,2,2,0.71485
3,2410,2,2,0.713387
1409,2748,2,2,0.71335
31,2748,2,2,0.71335
31,1409,2,2,0.71335
4148,6665,2,2,0.713097
2610,2820,2,2,0.712069
1182,1439,2,2,0.711232
6070,6355,2,2,0.7088
3654,3806,2,1,0.705912
1182,1325,2,2,0.704529
341,1695,3,3,0.700897
512,2822,2,2,0.698299
947,5573,2,2,0.693636
2981,3818,2,2,0.688198
512,679,2,2,0.686845
512,2185,2,2,0.686845
679,2185,2,2,0.686845
865,965,2,2,0.679784
2077,2766,3,3,0.671961
48,800,2,2,0.667616
372,3469,2,2,0.664923
2124,4996,3,1,0.663454
3044,3757,3,1,0.663454
4122,4996,3,1,0.663454
2184,3044,3,1,0.663454
2879,4754,3,1,0.663454
3377,4996,3,1,0.663454
4122,4754,3,1,0.663454
366,386,2,2,0.662267
30,6693,2,2,0.6543
3123,4877,2,2,0.654281
3207,5016,2,2,0.65312
140,225,2,2,0.651882
79,1410,2,2,0.650008
3469,4697,2,2,0.648206
48,501,2,2,0.647388
2764,4455,3,1,0.64594
3686,4455,3,1,0.64594
4926,5872,2,2,0.637241
5144,5551,3,3,0.633485
6083,6714,2,2,0.631759
973,6062,3,2,0.631232
2679,4121,2,2,0.626261
341,3314,1,1,0.621335
2464,5151,1,1,0.621335
1264,2005,1,1,0.621335
1877,1892,1,1,0.621335
865,1307,1,1,0.621335
478,1307,1,1,0.621335
3000,4940,1,1,0.621335
3616,3661,1,1,0.621335
1877,3869,1,1,0.621335
1892,3869,1,1,0.621335
4033,6373,1,1,0.621335
855,5145,1,1,0.621335
3077,6363,1,1,0.621335
429,945,1,1,0.621335
4306,4455,1,1,0.621335
869,1114,1,1,0.621335
2578,6224,1,1,0.621335
1752,4840,1,1,0.621335
2576,2578,1,1,0.621335
4980,6333,1,1,0.621335
711,3616,1,1,0.621335
6183,6806,1,1,0.621335
922,6806,1,1,0.621335
1155,4148,2,1,0.621335
922,6183,1,1,0.621335
1821,6582,1,1,0.621335
3455,4770,1,1,0.621335
515,3128,2,1,0.621335
3024,4045,1,1,0.621335
1782,5550,1,1,0.621335
2300,3345,1,1,0.621335
5765,6819,1,1,0.621335
1026,2749,1,1,0.621335
1052,3208,1,1,0.621335
1213,2436,1,1,0.621335
720,2402,1,1,0.621335
929,1611,1,1,0.621335
37,1445,1,1,0.621335
776,1598,2,2,0.620779
3123,4517,2,2,0.62049
1584,6029,2,2,0.617387
440,1326,2,2,0.6173
830,4188,2,1,0.613855
3544,4839,2,2,0.613855
1338,2819,2,2,0.610881
202,6426,2,2,0.609905
2168,5063,2,2,0.608716
1759,2846,2,1,0.606826
1759,3910,2,1,0.606826
2846,3910,2,1,0.606826
1778,6852,2,1,0.606826
618,6058,2,2,0.605447
515,3956,2,2,0.604682
2409,5344,3,1,0.604492
0,30,2,2,0.602973
2701,4839,2,2,0.600942
3347,3805,2,1,0.593948
3901,6062,3,1,0.592581
3901,6058,3,1,0.592581
753,3901,3,1,0.592581
771,2117,3,1,0.592581
771,2201,3,1,0.592581
753,6411,3,1,0.592581
6062,6411,3,1,0.592581
962,3077,2,2,0.591062
1725,4426,2,2,0.588189
3847,4518,2,2,0.588181
174,1887,2,2,0.587605
1682,4188,2,2,0.585983
3075,6266,2,2,0.585532
4647,5144,3,3,0.585124
6219,6387,4,1,0.583931
1874,3418,2,2,0.581833
1658,3670,3,3,0.579101
2347,3718,2,2,0.579016
2808,6574,2,2,0.574498
1023,1977,2,2,0.574206
3510,6597,2,2,0.567743
3277,6058,2,2,0.566797
626,2319,2,2,0.56611
530,1277,2,2,0.560322
2356,2691,2,2,0.560322
4040,4995,2,2,0.558944
141,5582,1,1,0.558111
66,2346,1,1,0.558111
4446,4662,1,1,0.558111
1621,4662,1,1,0.558111
758,6497,1,1,0.558111
350,854,1,1,0.558111
936,5604,1,1,0.558111
1009,4895,1,1,0.558111
237,5582,1,1,0.558111
3912,4467,1,1,0.558111
737,3782,1,1,0.558111
2761,6680,1,1,0.558111
2165,6596,1,1,0.558111
141,3668,1,1,0.558111
715,2340,1,1,0.558111
2786,5381,1,1,0.558111
2092,6739,1,1,0.558111
4148,5381,1,1,0.558111
196,6458,1,1,0.558111
1707,6586,1,1,0.558111
1529,6467,1,1,0.558111
2456,3019,1,1,0.558111
186,1567,1,1,0.558111
194,4971,1,1,0.558111
1501,1734,1,1,0.558111
3693,4153,1,1,0.558111
1224,6693,1,1,0.558111
2212,2612,1,1,0.558111
1183,2347,1,1,0.558111
921,1781,1,1,0.558111
865,2740,2,2,0.557618
2165,3859,2,2,0.556786
204,998,2,2,0.555609
2594,3960,2,2,0.554245
1286,5385,2,2,0.549752
1831,2070,2,2,0.547474
2983,6500,2,2,0.547474
1224,1277,2,2,0.544928
1186,3478,2,2,0.544161
4751,5363,2,2,0.541896
3347,5934,2,1,0.538565
2764,5713,2,2,0.530973
341,394,2,2,0.529313
63,621,2,2,0.526393
494,528,2,1,0.519461
3956,6267,2,2,0.517364
442,4884,2,2,0.516811
1839,3956,2,2,0.516654
2322,6674,1,1,0.513898
1205,2198,1,1,0.513898
2367,2653,1,1,0.513898
4839,5528,1,1,0.513898
2001,5133,1,1,0.513898
211,1997,1,1,0.513898
4839,5326,1,1,0.513898
6134,6162,1,1,0.513898
2220,5861,1,1,0.513898
263,1941,1,1,0.513898
1017,1936,1,1,0.513898
82,1223,1,1,0.513898
1548,4606,1,1,0.513898
1559,4880,1,1,0.513898
356,2031,1,1,0.513898
1892,4845,1,1,0.513898
1711,6122,1,1,0.513898
1564,1711,1,1,0.513898
62,275,1,1,0.513898
1099,5515,1,1,0.513898
1637,3733,1,1,0.513898
2631,5757,1,1,0.513898
138,1344,1,1,0.513898
556,4880,1,1,0.513898
1831,3247,1,1,0.513898
796,6502,1,1,0.513898
3509,5317,1,1,0.513898
425,4845,1,1,0.513898
4467,4662,1,1,0.513898
168,5757,1,1,0.513898
1183,5447,1,1,0.513898
204,2631,1,1,0.513898
225,556,1,1,0.513898
1543,5787,1,1,0.513898
225,1559,1,1,0.513898
4016,4608,1,1,0.513898
225,4880,1,1,0.513898
556,1559,1,1,0.513898
4662,5326,1,1,0.513898
711,1553,1,1,0.513898
239,1211,2,2,0.507558
982,3075,2,2,0.507096
414,454,2,2,0.506069
830,2704,2,1,0.501381
2359,5867,2,1,0.492557
4241,6131,2,2,0.487888
30,1206,2,1,0.484598
1611,3901,2,1,0.484598
1611,5915,2,1,0.484598
4977,5813,2,1,0.484598
0,5588,2,1,0.484598
4751,6870,2,2,0.483253
2701,5812,1,1,0.480898
4023,6183,1,1,0.480898
3858,6130,1,1,0.480898
20,4426,1,1,0.480898
2558,3880,1,1,0.480898
4148,4826,1,1,0.480898
806,2587,1,1,0.480898
2431,4090,1,1,0.480898
2816,4306,1,1,0.480898
2775,6099,1,1,0.480898
1211,1277,1,1,0.480898
1983,3820,1,1,0.480898
1586,2208,1,1,0.480898
1626,5497,1,1,0.480898
3820,4016,1,1,0.480898
14,464,1,1,0.480898
4354,6382,1,1,0.480898
313,3001,1,1,0.480898
1602,3601,1,1,0.480898
299,2799,1,1,0.480898
1149,3342,1,1,0.480898
54,4971,1,1,0.480898
944,2205,1,1,0.480898
165,2205,1,1,0.480898
4473,6415,1,1,0.480898
4177,6439,1,1,0.480898
2443,4152,1,1,0.480898
1041,6333,1,1,0.480898
1041,1611,1,1,0.480898
1252,2772,1,1,0.480898
1252,6073,1,1,0.480898
618,4992,1,1,0.480898
1280,1502,1,1,0.480898
2772,6073,1,1,0.480898
973,4992,1,1,0.480898
464,1459,1,1,0.480898
14,1459,1,1,0.480898
33,1149,1,1,0.480898
2926,5774,1,1,0.480898
1197,3912,1,1,0.480898
3519,5065,1,1,0.480898
664,3935,1,1,0.480898
186,4469,1,1,0.480898
1525,1877,1,1,0.480898
3936,5171,1,1,0.480898
69,89,1,1,0.480898
3935,4056,1,1,0.480898
1514,3456,1,1,0.480898
942,963,1,1,0.480898
1099,5171,1,1,0.480898
114,2741,1,1,0.480898
757,1053,1,1,0.480898
301,2024,1,1,0.480898
2219,6805,2,2,0.480711
1895,2371,2,2,0.469284
776,3806,2,2,0.465024
1067,4601,2,2,0.464704
718,5774,2,2,0.464533
1970,5348,2,2,0.463234
4468,4925,2,2,0.462341
2408,6680,1,1,0.45512
856,1485,1,1,0.45512
580,1202,1,1,0.45512
2066,6099,1,1,0.45512
457,2393,1,1,0.45512
1304,2408,1,1,0.45512
2175,4713,1,1,0.45512
856,3996,1,1,0.45512
509,5812,1,1,0.45512
2519,3186,1,1,0.45512
2519,6755,1,1,0.45512
3186,6755,1,1,0.45512
578,1226,1,1,0.45512
141,827,1,1,0.45512
1911,1982,1,1,0.45512
2598,4599,1,1,0.45512
2915,3770,1,1,0.45512
2208,6180,1,1,0.45512
391,2986,1,1,0.45512
3329,6852,1,1,0.45512
0,3469,1,1,0.45512
1372,1982,1,1,0.45512
420,3639,1,1,0.45512
1368,6496,1,1,0.45512
1523,3398,1,1,0.45512
1009,2214,1,1,0.45512
1040,4605,1,1,0.45512
20,21,1,1,0.45512
1009,4824,1,1,0.45512
3718,4953,1,1,0.45512
2787,2822,1,1,0.45512
3069,4177,1,1,0.45512
182,6581,1,1,0.45512
2528,4543,1,1,0.45512
2720,3227,1,1,0.45512
3544,6450,1,1,0.45512
321,4543,1,1,0.45512
2335,5461,1,1,0.45512
2344,5787,1,1,0.45512
3525,5756,1,1,0.45512
1485,3544,1,1,0.45512
321,1738,1,1,0.45512
3224,5722,1,1,0.45512
2741,4738,1,1,0.45512
494,1186,1,1,0.45512
1124,1734,1,1,0.45512
1892,2616,1,1,0.45512
963,2616,1,1,0.45512
963,1892,1,1,0.45512
512,5183,1,1,0.45512
592,824,1,1,0.45512
2066,6193,1,1,0.45512
2720,3755,1,1,0.45512
1485,6450,1,1,0.45512
184,3949,1,1,0.45512
4934,5871,1,1,0.45512
0,3880,1,1,0.45512
2793,4679,1,1,0.45512
1918,2772,1,1,0.45512
925,2232,1,1,0.45512
2563,5214,1,1,0.45512
321,2528,1,1,0.45512
800,2868,1,1,0.45512
2385,2921,1,1,0.45512
1046,3113,1,1,0.45512
196,4629,1,1,0.45512
4995,6522,1,1,0.45512
1485,3996,1,1,0.45512
2005,2316,1,1,0.45512
77,2385,1,1,0.45512
3479,4934,2,1,0.453852
4208,5551,2,2,0.450248
454,2612,2,1,0.44557
3377,4754,2,1,0.442303
1940,3044,2,1,0.442303
1940,2124,2,1,0.442303
3757,4122,2,1,0.442303
2879,3757,2,1,0.442303
2124,4754,2,1,0.442303
1940,4122,2,1,0.442303
2184,4122,2,1,0.442303
2184,3757,2,1,0.442303
4754,4996,2,1,0.442303
120,2759,2,2,0.439922
25,2507,2,2,0.438353
1724,6387,3,1,0.437948
1658,6387,3,1,0.437948
1307,5820,1,1,0.434294
1671,4750,1,1,0.434294
97,478,1,1,0.434294
1833,3509,1,1,0.434294
1671,3509,1,1,0.434294
3509,4750,1,1,0.434294
1833,4750,1,1,0.434294
1877,5084,1,1,0.434294
2598,4839,1,1,0.434294
1671,1833,1,1,0.434294
141,3924,1,1,0.434294
5528,5961,1,1,0.434294
4796,5961,1,1,0.434294
1182,2999,1,1,0.434294
1182,6439,1,1,0.434294
1439,2999,1,1,0.434294
4796,5528,1,1,0.434294
1439,6439,1,1,0.434294
2999,6439,1,1,0.434294
225,2048,1,1,0.434294
3075,3168,1,1,0.434294
1344,4750,1,1,0.434294
225,1124,1,1,0.434294
31,1124,1,1,0.434294
31,225,1,1,0.434294
5528,6239,1,1,0.434294
1344,1671,1,1,0.434294
411,4056,1,1,0.434294
2811,4568,1,1,0.434294
1344,1833,1,1,0.434294
1344,3509,1,1,0.434294
467,841,1,1,0.434294
883,4142,1,1,0.434294
2809,4095,1,1,0.434294
2486,2994,1,1,0.434294
1183,1361,1,1,0.434294
106,1314,1,1,0.434294
2819,3710,1,1,0.434294
331,3341,1,1,0.434294
231,4188,1,1,0.434294
296,2859,1,1,0.434294
345,662,1,1,0.434294
2667,6842,1,1,0.434294
3510,3766,1,1,0.434294
839,1641,1,1,0.434294
1850,2888,1,1,0.434294
2466,5748,1,1,0.434294
2718,6447,1,1,0.434294
1776,6643,1,1,0.434294
2326,5380,1,1,0.434294
53,1124,1,1,0.434294
1338,3710,1,1,0.434294
2970,3280,1,1,0.434294
1979,4406,1,1,0.434294
2417,3951,1,1,0.434294
4545,5515,1,1,0.434294
2240,3960,1,1,0.434294
479,1325,1,1,0.434294
876,5757,1,1,0.434294
2806,3999,1,1,0.434294
165,1178,1,1,0.434294
18,5953,1,1,0.434294
2326,5171,1,1,0.434294
1998,5515,1,1,0.434294
2201,4992,2,2,0.433704
973,6058,2,2,0.433704
123,782,2,2,0.433137
1709,4455,2,1,0.430627
1709,3686,2,1,0.430627
1709,5713,2,1,0.430627
770,6861,2,1,0.429742
3280,6231,1,1,0.417032
3280,6819,1,1,0.417032
747,6231,1,1,0.417032
747,3280,1,1,0.417032
1224,4443,1,1,0.417032
5068,5366,1,1,0.417032
6231,6819,1,1,0.417032
487,5133,1,1,0.417032
1199,3000,1,1,0.417032
2065,5812,1,1,0.417032
747,6819,1,1,0.417032
2439,4662,1,1,0.417032
903,4549,1,1,0.417032
1365,3290,1,1,0.417032
916,5121,1,1,0.417032
1031,3735,1,1,0.417032
512,797,1,1,0.417032
512,1365,1,1,0.417032
512,3290,1,1,0.417032
512,5863,1,1,0.417032
797,1365,1,1,0.417032
797,2822,1,1,0.417032
797,3290,1,1,0.417032
797,5863,1,1,0.417032
1365,2822,1,1,0.417032
1365,5863,1,1,0.417032
576,4824,1,1,0.417032
2822,3290,1,1,0.417032
2822,5863,1,1,0.417032
982,5582,1,1,0.417032
379,4040,1,1,0.417032
379,4995,1,1,0.417032
1968,2504,1,1,0.417032
3290,5863,1,1,0.417032
3075,4533,1,1,0.417032
370,6237,1,1,0.417032
4308,4662,1,1,0.417032
3707,4151,1,1,0.417032
1462,3942,1,1,0.417032
1792,1873,1,1,0.417032
1365,3465,1,1,0.417032
1928,3137,1,1,0.417032
356,1834,1,1,0.417032
345,3326,1,1,0.417032
4796,5217,1,1,0.417032
1849,5117,1,1,0.417032
828,1508,1,1,0.417032
2464,3366,1,1,0.417032
5257,5787,1,1,0.417032
4040,6523,1,1,0.417032
3570,6523,1,1,0.417032
3570,4040,1,1,0.417032
1246,3570,1,1,0.417032
2056,3414,1,1,0.417032
3111,3569,1,1,0.417032
3996,6099,1,1,0.417032
66,1231,1,1,0.417032
1372,1998,1,1,0.417032
556,1372,1,1,0.417032
992,1494,1,1,0.417032
1494,1614,1,1,0.417032
1224,3649,1,1,0.417032
1224,5068,1,1,0.417032
690,6857,1,1,0.417032
1224,5366,1,1,0.417032
3649,5068,1,1,0.417032
1747,1998,1,1,0.417032
666,2081,2,2,0.41264
2261,6123,2,2,0.410766
1059,2066,2,1,0.409601
2507,5067,2,2,0.409146
1389,4769,2,2,0.407441
3037,4318,2,1,0.405312
3105,4176,2,1,0.405312
5042,5344,2,2,0.403859
561,5344,2,1,0.402995
561,808,2,1,0.402995
390,1284,1,1,0.40243
1284,4668,1,1,0.40243
1616,3035,1,1,0.40243
2033,4835,1,1,0.40243
85,6419,1,1,0.40243
1246,5741,1,1,0.40243
4797,5931,1,1,0.40243
1284,4531,1,1,0.40243
1284,3035,1,1,0.40243
1284,1616,1,1,0.40243
1616,4531,1,1,0.40243
1392,2149,1,1,0.40243
1246,1482,1,1,0.40243
3019,3280,1,1,0.40243
5084,5183,1,1,0.40243
1616,4668,1,1,0.40243
2786,6665,1,1,0.40243
3035,4531,1,1,0.40243
575,3950,1,1,0.40243
1792,4179,1,1,0.40243
3035,4668,1,1,0.40243
4531,4668,1,1,0.40243
2714,3892,1,1,0.40243
122,1124,1,1,0.40243
1301,5011,1,1,0.40243
3734,6053,1,1,0.40243
426,1809,1,1,0.40243
3207,3224,1,1,0.40243
2691,2820,1,1,0.40243
4992,5788,1,1,0.40243
1145,1758,1,1,0.40243
830,5639,1,1,0.40243
985,4552,1,1,0.40243
3151,5782,1,1,0.40243
390,1616,1,1,0.40243
1224,3998,1,1,0.40243
485,1377,1,1,0.40243
390,3035,1,1,0.40243
252,2347,1,1,0.40243
4109,6443,1,1,0.40243
159,3051,1,1,0.40243
390,4531,1,1,0.40243
390,4668,1,1,0.40243
3710,4797,1,1,0.40243
4188,4545,1,1,0.40243
4188,6065,1,1,0.40243
4545,6065,1,1,0.40243
143,2344,1,1,0.40243
2363,6500,1,1,0.40243
413,5713,1,1,0.40243
187,764,1,1,0.40243
771,4121,1,1,0.40243
1809,2495,1,1,0.40243
3224,5016,1,1,0.40243
2541,2957,1,1,0.40243
426,2495,1,1,0.40243
30,4188,1,1,0.40243
1028,1708,1,1,0.40243
184,981,1,1,0.40243
3186,3740,1,1,0.40243
2486,5660,1,1,0.40243
4647,5551,2,2,0.398107
753,1178,2,1,0.395054
1178,6411,2,1,0.395054
1178,6062,2,1,0.395054
973,6411,2,1,0.395054
6058,6411,2,1,0.395054
3277,3901,2,1,0.395054
4413,5344,2,2,0.391891
1011,1625,2,1,0.3917
2137,5322,1,1,0.389871
561,5537,1,1,0.389871
561,4911,1,1,0.389871
561,664,1,1,0.389871
454,1801,1,1,0.389871
3924,4185,1,1,0.389871
401,414,1,1,0.389871
89,3412,1,1,0.389871
1197,4613,1,1,0.389871
414,561,1,1,0.389871
1465,3364,1,1,0.389871
664,5537,1,1,0.389871
454,764,1,1,0.389871
49,62,1,1,0.389871
49,84,1,1,0.389871
62,84,1,1,0.389871
664,4911,1,1,0.389871
53,1598,1,1,0.389871
4911,5537,1,1,0.389871
3167,5029,1,1,0.389871
122,381,2,1,0.389871
2578,3192,1,1,0.389871
626,2243,1,1,0.389871
1359,5515,1,1,0.389871
542,1318,1,1,0.389871
828,1318,1,1,0.389871
967,4824,1,1,0.389871
