u1,u2
97,911
97,1206
98,123
98,251
98,313
98,520
98,560
98,823
98,985
98,1088
99,176
100,637
100,646
100,659
100,1281
101,1054
102,151
102,176
102,424
102,1312
103,720
104,350
104,915
105,116
105,141
105,176
105,239
105,513
105,521
105,966
105,1114
105,1162
107,109
107,158
107,163
107,173
107,287
107,826
107,883
107,908
107,912
107,1051
107,1069
107,1110
107,1282
111,757
112,1157
113,285
114,120
114,213
115,433
116,136
116,141
116,223
116,225
116,251
116,311
116,624
116,706
116,1147
117,141
117,143
117,390
117,420
117,466
117,649
117,754
117,893
117,1032
117,1069
117,1085
117,1170
117,1391
117,1392
117,1575
118,350
119,134
119,251
119,263
119,292
119,520
120,213
120,225
120,251
120,410
121,575
123,492
123,670
123,762
123,1002
123,1151
123,1350
123,1547
124,214
124,966
124,1032
125,1218
126,529
126,1106
127,354
127,427
127,607
127,694
127,839
127,1110
127,1559
127,1657
128,749
130,173
130,251
130,839
130,1002
131,176
133,424
133,830
133,1210
134,189
134,200
134,239
134,251
134,273
134,292
134,520
134,1010
134,1431
134,1451
135,313
137,490
137,1277
138,468
139,176
139,662
140,251
141,207
141,214
141,251
141,281
141,298
141,439
141,719
141,754
141,787
141,856
141,859
141,1260
141,1274
141,1502
141,1618
142,220
142,256
143,176
143,292
143,560
143,647
144,292
144,471
145,1343
146,461
149,1555
150,175
151,239
151,448
153,207
153,450
153,635
153,1069
153,1260
153,1291
155,710
157,532
158,226
158,292
161,269
162,1451
164,239
164,288
164,310
168,511
168,1032
168,1212
168,1243
169,198
169,399
169,542
169,569
169,1330
172,176
173,251
173,334
173,343
173,1031
173,1312
174,316
174,381
174,855
174,1220
174,1513
176,244
176,265
176,288
176,292
176,301
176,336
176,340
176,352
176,356
176,380
176,394
176,400
176,428
176,483
176,484
176,521
176,570
176,609
176,620
176,718
176,741
176,769
176,771
176,778
176,781
176,789
176,817
176,884
176,888
176,895
176,920
176,956
176,966
176,967
176,985
176,1010
176,1012
176,1024
176,1027
176,1043
176,1045
176,1051
176,1062
176,1092
176,1110
176,1134
176,1135
176,1147
176,1155
176,1157
176,1218
176,1220
176,1244
176,1260
176,1279
176,1282
176,1290
176,1299
176,1311
176,1335
176,1354
176,1382
176,1389
176,1431
176,1441
176,1460
176,1474
176,1522
176,1529
176,1543
176,1628
179,239
179,273
179,284
179,329
179,399
179,511
179,542
179,599
179,741
179,748
179,787
179,966
179,1010
179,1032
179,1125
179,1220
179,1312
182,532
183,1275
184,1621
187,197
187,748
187,757
187,784
193,338
195,358
195,484
196,226
197,284
197,1050
197,1312
198,399
198,542
199,350
200,573
200,966
206,1328
207,354
207,361
207,450
207,501
207,706
207,787
207,838
207,892
207,1069
207,1589
209,844
210,320
210,345
210,633
210,823
210,896
210,1204
211,281
213,537
214,215
214,557
214,656
214,759
214,1159
215,966
215,1032
215,1310
216,499
216,1091
216,1116
219,225
221,316
221,532
221,686
221,781
221,985
221,989
221,1277
222,528
222,814
226,258
226,292
226,652
226,670
226,770
226,778
227,1151
228,1451
229,337
229,1002
230,382
232,278
232,1110
232,1121
232,1269
233,307
235,577
237,492
239,251
239,319
239,329
239,337
239,351
239,487
239,511
239,520
239,639
239,741
239,787
239,966
239,985
239,1010
239,1014
239,1389
239,1489
240,1587
242,1374
244,609
244,781
245,316
245,639
245,740
245,842
249,251
249,404
251,263
251,274
251,292
251,329
251,418
251,490
251,520
251,532
251,670
251,985
251,1010
251,1020
251,1312
252,301
252,627
252,655
252,713
252,1010
252,1050
253,816
254,905
256,624
257,1594
260,268
261,729
263,520
268,298
271,804
272,1004
273,1043
273,1260
274,297
274,706
274,1016
274,1069
274,1231
274,1241
274,1596
276,1165
278,686
278,1121
279,831
281,430
281,434
281,1005
284,759
284,966
284,975
284,1010
284,1014
284,1159
288,321
288,513
288,1134
288,1200
288,1617
290,1495
291,427
291,1110
292,329
292,435
292,461
292,658
292,1226
294,1382
296,302
296,989
298,853
300,633
301,492
301,1156
306,337
307,670
309,728
309,975
310,985
310,1241
310,1296
310,1309
311,1159
311,1164
313,520
315,432
316,325
316,383
316,600
316,855
316,1005
316,1016
316,1022
316,1268
316,1340
318,332
319,329
319,520
319,639
319,668
319,842
319,966
319,1110
319,1340
320,1002
325,642
325,1165
325,1220
326,524
328,640
329,639
329,803
329,966
329,1002
329,1476
333,616
338,948
341,1602
342,1088
343,1542
344,1050
348,962
350,430
350,915
350,1171
351,985
351,1010
352,1047
354,383
354,418
354,443
354,1329
355,1214
357,506
357,707
358,484
361,560
361,706
361,1147
361,1157
361,1170
361,1312
362,1484
364,562
364,828
368,1357
369,1144
372,1260
378,527
380,778
381,855
381,1220
382,1215
383,418
383,649
383,751
383,844
383,1016
383,1069
383,1292
383,1392
384,762
384,1573
388,966
388,1410
390,649
390,754
390,1069
392,560
394,658
394,925
397,564
399,432
399,931
399,1310
399,1634
400,609
402,1453
405,519
405,573
405,684
405,1019
406,1378
413,1031
413,1152
415,489
417,618
417,642
418,435
418,560
418,1292
419,434
419,833
419,1434
420,541
420,1280
422,457
422,596
422,1215
422,1593
424,478
424,511
424,643
424,728
424,856
424,1008
424,1260
424,1469
424,1582
425,654
425,751
425,895
425,1260
426,774
427,1079
427,1110
427,1220
427,1619
428,609
432,989
433,768
433,1561
435,455
435,823
439,781
441,1321
443,852
444,805
446,1159
446,1548
449,1360
451,566
454,918
458,885
460,640
461,769
461,1145
461,1157
461,1226
461,1277
461,1282
464,496
466,670
466,1081
467,1638
468,1655
470,509
472,614
477,1244
488,1277
488,1570
490,962
490,985
492,1547
496,1147
499,1196
499,1231
500,678
501,959
501,1414
501,1561
505,768
505,959
505,1561
507,1006
509,1285
509,1648
510,1333
511,564
511,643
511,1032
511,1049
511,1136
511,1286
511,1435
511,1469
511,1489
511,1582
512,628
512,1547
513,1017
516,1193
520,842
520,1179
521,892
522,705
522,1478
522,1593
522,1626
523,719
523,1059
530,1169
531,1369
533,699
533,867
534,1105
537,920
537,1271
538,1241
539,637
539,832
541,811
541,1402
544,559
544,887
544,972
544,1240
546,791
546,805
547,721
549,565
553,570
553,1024
553,1240
553,1378
553,1482
554,955
555,1181
556,1486
557,582
557,759
558,1663
559,887
559,972
559,1240
560,628
560,823
560,1128
560,1308
562,1055
562,1383
563,803
566,608
566,862
568,1021
570,607
570,622
570,1217
570,1378
574,1069
579,687
584,807
586,1342
587,1617
591,954
599,694
600,1580
602,639
602,748
604,909
605,759
606,690
606,727
607,752
607,1638
610,804
611,1295
612,920
616,823
616,975
616,1170
616,1172
616,1209
622,665
624,1088
625,1413
627,655
628,1414
628,1547
629,662
629,1241
633,878
636,1551
638,641
639,740
639,1246
639,1277
644,946
647,1517
649,754
649,802
649,893
649,1069
649,1083
649,1085
650,1043
651,1203
652,670
654,660
654,920
654,993
655,1312
656,759
660,1638
661,1657
662,1012
662,1054
662,1119
662,1222
662,1270
663,727
664,1205
664,1616
668,1400
669,776
674,991
675,1137
679,950
679,1340
681,685
681,814
681,875
681,880
684,1587
685,1146
686,1638
687,1179
687,1196
687,1417
692,840
692,1404
694,1082
694,1139
695,922
696,1400
698,824
698,1511
700,1106
703,825
703,1018
706,1145
706,1147
706,1157
706,1312
711,782
714,733
714,1000
716,781
719,859
719,1618
720,1063
720,1592
721,826
723,1646
725,1485
735,1257
736,737
738,1103
743,863
744,1288
745,1425
746,802
747,1051
747,1106
748,1299
749,1290
751,1069
752,887
752,1011
752,1024
752,1217
752,1240
752,1466
753,1302
754,1069
756,902
757,1612
760,1628
762,1179
762,1255
768,959
768,1561
770,1588
772,1521
773,808
776,1091
777,1602
778,897
778,1452
779,1602
780,1051
781,1367
787,1010
789,843
789,1051
789,1555
793,1164
793,1172
795,1569
796,920
797,1571
801,1612
802,1453
803,1260
806,832
807,847
807,1165
807,1242
810,1281
812,844
812,1141
814,843
816,1516
823,1499
823,1589
824,1511
830,1101
832,833
832,1471
837,1264
838,943
841,1537
843,1329
843,1623
844,1027
846,1585
847,1165
847,1242
848,852
848,1238
851,858
852,1155
853,944
853,1087
854,1430
855,1027
856,1431
857,1627
859,1618
861,1242
863,1273
864,1072
865,1398
870,1638
873,999
875,938
875,1442
876,1177
880,967
882,940
887,972
887,1240
887,1378
889,1033
892,1335
893,1149
895,1309
899,1437
902,1063
902,1182
905,1544
906,957
906,1410
906,1532
907,1662
908,1110
911,1206
914,1259
917,1039
921,967
926,945
927,1465
937,976
938,1134
939,1371
942,1650
943,959
945,1028
946,1174
946,1441
949,1161
952,1008
953,1490
954,1063
954,1228
957,1411
961,1366
962,1333
963,1219
963,1339
966,1032
966,1069
966,1159
966,1185
966,1310
966,1582
969,972
970,1392
972,1425
973,1015
980,1320
981,1603
984,1095
985,1312
986,1038
986,1193
986,1589
994,1542
994,1615
998,1166
1000,1108
1005,1087
1007,1021
1008,1032
1008,1448
1008,1469
1010,1312
1011,1079
1011,1657
1012,1420
1016,1069
1021,1652
1022,1134
1022,1441
1024,1258
1027,1220
1027,1549
1032,1034
1032,1220
1032,1469
1036,1410
1038,1589
1040,1515
1041,1099
1048,1281
1049,1098
1058,1127
1060,1431
1060,1497
1061,1118
1063,1182
1063,1250
1068,1576
1069,1110
1069,1114
1069,1260
1069,1350
1069,1392
1076,1497
1076,1664
1080,1329
1081,1576
1084,1385
1088,1172
1090,1181
1096,1466
1100,1546
1104,1591
1105,1241
1106,1129
1106,1397
1110,1350
1110,1619
1115,1635
1122,1225
1127,1279
1133,1479
1136,1212
1145,1448
1147,1535
1148,1334
1153,1568
1159,1286
1159,1296
1165,1242
1168,1629
1176,1211
1178,1332
1179,1255
1186,1562
1187,1224
1193,1589
1196,1609
1197,1228
1201,1627
1217,1258
1218,1410
1219,1339
1219,1503
1219,1661
1220,1273
1226,1279
1229,1436
1230,1427
1230,1474
1240,1378
1240,1470
1240,1482
1241,1329
1241,1623
1248,1397
1249,1487
1253,1456
1256,1656
1258,1467
1264,1309
1272,1461
1277,1570
1279,1638
1289,1642
1302,1591
1310,1634
1323,1497
1326,1519
1327,1453
1329,1406
1335,1403
1336,1493
1339,1503
1341,1481
1350,1619
1367,1558
1372,1386
1373,1424
1375,1637
1376,1516
1378,1482
1378,1588
1379,1437
1380,1394
1388,1660
1391,1444
1403,1469
1409,1494
1418,1441
1421,1522
1427,1580
1446,1611
1448,1451
1451,1469
1469,1489
1473,1650
1478,1515
1478,1568
1482,1588
1492,1649
1493,1520
1497,1515
1512,1595
1519,1606
1528,1610
1531,1592
1551,1578
1559,1596
1559,1657
1599,1638
1631,1653
