venue_id,lat,lng,category_id,category,city,km
11750,40.7108893298,-74.0122103558,23,Skyscraper,New York,9.023
11751,40.711164275,-74.0124034826,23,Skyscraper,New York,9.04
11752,40.7113577401,-74.0118777682,23,Skyscraper,New York,8.997
11753,40.704123277,-74.015225172,51,Sculpture,New York,9.281
11759,33.9773333,-118.0318737,55,Other - Parks ,Los Angeles,20.268
11781,40.7016313,-74.01495695,16,American,New York,9.275
11782,40.7018029667,-74.0148711167,58,Other - Entertainment,New York,9.266
11784,40.7008291704,-74.0130579472,172,Ferry,New York,9.122
11790,40.7021677333,-74.01287555,23,Skyscraper,New York,9.095
11791,40.7018566,-74.01094435,121,Corporate Office,New York,8.936
11792,40.7036483167,-74.0068030333,63,Monument,New York,8.574
11793,41.8826079333,-87.6233696833,51,Sculpture,Chicago,6.408
11794,40.705823135,-73.9966964722,63,Monument,New York,7.713
11795,40.7104611333,-74.00420665,134,University,New York,8.347
11796,41.88644885,-87.6132631167,113,Big Blue Wet Thing,Chicago,7.054
11797,40.7115811831,-74.0122318267,166,Historic Landmark,New York,9.028
11802,40.71247815,-74.033432,23,Skyscraper,New York,10.817
11803,40.7291722167,-74.034698,23,Skyscraper,New York,11.165
11807,40.8117304816,-74.0675711632,79,Stadium,New York,17.898
11809,40.8152496667,-74.0740728333,78,Racetrack,New York,18.568
11811,40.812209574,-74.0769803524,79,Stadium,New York,18.543
11818,41.9545769667,-87.6802325167,64,Other - Food ,Chicago,14.597
11824,40.7810613694,-73.9737582207,73,History Museum,New York,9.978
11826,40.7691478667,-73.9810967333,49,Luxury Hotel,New York,9.343
11827,40.7685979956,-73.9829850197,121,Corporate Office,New York,9.408
11828,40.7680535838,-73.9819067716,63,Monument,New York,9.302
11831,40.7490532543,-73.9680397511,23,Skyscraper,New York,6.999
11832,40.7516598667,-73.9755821167,49,Luxury Hotel,New York,7.671
11834,40.7538160368,-73.983618021,38,City Park,New York,8.35
11835,40.7532308669,-73.982180357,102,Library,New York,8.215
11838,40.7545353011,-73.9839881658,101,Sandwich Shop,New York,8.424
11839,40.7549965333,-73.9848518333,121,Corporate Office,New York,8.513
11844,40.7568799674,-73.9862251282,58,Other - Entertainment,New York,8.733
11847,40.757066887,-73.9865255356,16,American,New York,8.766
11848,40.7592880667,-73.9851307833,121,Corporate Office,New York,8.832
11857,40.7636900022,-73.9828562737,103,Theatre,New York,9.017
11858,40.7615853046,-73.9834463596,103,Theatre,New York,8.894
11860,40.7620775667,-73.9842724667,121,Corporate Office,New York,8.983
11875,40.750613794,-73.993434906,662,Arena,New York,8.822
11936,33.8757634,-118.2131910167,79,Stadium,Los Angeles,14.226
11972,40.6889498167,-74.04364585,105,Scenic Lookout,New York,11.856
11974,40.6899476,-74.04446125,63,Monument,New York,11.905
11975,40.6891968241,-74.0445041656,63,Monument,New York,11.923
11978,40.6897544833,-74.0433239833,105,Scenic Lookout,New York,11.814
11980,40.6904625833,-74.04561995,105,Scenic Lookout,New York,11.992
11983,40.6899127195,-74.0451478958,54,Other - Shopping,New York,11.963
11985,40.6904089606,-74.0464138985,54,Other - Shopping,New York,12.059
11986,40.6898832167,-74.0463066,16,American,New York,12.059
11990,40.6903445667,-74.0462207667,54,Other - Shopping,New York,12.044
11995,40.6898510333,-74.0472292833,172,Ferry,New York,12.137
12006,40.6987988833,-74.0400195,73,History Museum,New York,11.406
12008,40.69856285,-74.03974055,172,Ferry,New York,11.385
12009,40.6987237833,-74.0388178667,16,American,New York,11.306
12010,40.6993813387,-74.0393972397,41,National Park,New York,11.348
12011,40.6984947295,-74.0383780003,166,Historic Landmark,New York,11.272
12014,40.699625,-74.0381312333,63,Monument,New York,11.24
12021,40.6987237833,-74.0390968167,54,Other - Shopping,New York,11.33
12024,40.6981766167,-74.0393757667,105,Scenic Lookout,New York,11.359
12026,40.69934605,-74.0377020833,105,Scenic Lookout,New York,11.206
12037,40.7028651167,-74.0171241667,172,Ferry,New York,9.448
12042,41.9216624344,-87.6337337494,33,Zoo,Chicago,10.595
12081,40.7877302167,-73.9674711167,38,City Park,New York,10.313
12083,40.78681825,-73.9672136167,38,City Park,New York,10.214
12084,40.7875370833,-73.9661407333,38,City Park,New York,10.238
12086,40.78849195,-73.9662051167,38,City Park,New York,10.332
12088,40.7890605833,-73.9656686667,38,City Park,New York,10.365
12090,40.7889640167,-73.9621496167,38,City Park,New York,10.213
12091,40.7890176667,-73.9612483833,38,City Park,New York,10.183
12092,40.7892858833,-73.96182775,38,City Park,New York,10.232
12095,40.790627,-73.9636731,38,City Park,New York,10.437
12096,40.7915174833,-73.96461725,38,City Park,New York,10.561
12097,40.7917106,-73.9641880833,38,City Park,New York,10.563
12099,40.7923007,-73.9631795833,38,City Park,New York,10.582
12101,40.7920539333,-73.9611840167,38,City Park,New York,10.481
12102,40.7916247833,-73.9595317833,38,City Park,New York,10.376
12109,40.7928478667,-73.96000385,38,City Park,New York,10.516
12112,40.7936096167,-73.9621925333,38,City Park,New York,10.674
12115,40.7942533333,-73.9610552667,38,City Park,New York,10.695
12119,40.79462885,-73.9598107333,38,City Park,New York,10.687
12120,40.7972252333,-73.9582443167,38,City Park,New York,10.894
12122,40.7998430667,-73.95706415,38,City Park,New York,11.12
12124,40.7973003333,-73.9512920333,38,City Park,New York,10.675
12125,40.7972466833,-73.9516782667,37,Playground,New York,10.681
12126,40.7964951619,-73.9520215988,114,Lake & Pond,New York,10.614
12128,40.7962918167,-73.9550685833,38,City Park,New York,10.691
12129,40.7965600333,-73.95300865,38,City Park,New York,10.652
12131,40.7952833167,-73.9521288833,38,City Park,New York,10.492
12132,40.7945430167,-73.95133495,38,City Park,New York,10.391
12133,40.7937335889,-73.9524185658,214,Garden,New York,10.342
12134,40.7932770167,-73.9555621,38,City Park,New York,10.401
12144,40.7840931333,-73.9694237667,37,Playground,New York,10.054
12145,40.7842755167,-73.9683723333,37,Playground,New York,10.024
12146,40.7832241,-73.9699602,38,City Park,New York,9.997
12147,40.7819581,-73.9712691167,37,Playground,New York,9.941
12148,40.7818722667,-73.9697027167,38,City Park,New York,9.86
12149,40.7826983833,-73.9665269833,40,Nature Preserve,New York,9.793
12150,40.7820868333,-73.9647245333,37,Playground,New York,9.656
12151,40.7814188241,-73.9663338661,38,City Park,New York,9.664
12152,40.7821824709,-73.9625358582,166,Historic Landmark,New York,9.57
12153,40.7859030926,-73.9633083344,114,Lake & Pond,New York,9.962
12154,40.7842326,-73.9590811667,38,City Park,New York,9.627
12155,40.7843738448,-73.9591562748,63,Monument,New York,9.644
12156,40.7796084833,-73.9653468,38,City Park,New York,9.449
12157,40.78045605,-73.968544,103,Theatre,New York,9.675
12158,40.7806169833,-73.96856545,51,Sculpture,New York,9.691
12159,40.7794582833,-73.9690804333,185,Castle,New York,9.608
12160,40.7799088833,-73.9696383333,38,City Park,New York,9.675
12161,40.77952265,-73.9668703,114,Lake & Pond,New York,9.511
12162,40.77888965,-73.9666771833,51,Sculpture,New York,9.443
12163,40.7775914667,-73.9641880833,37,Playground,New York,9.208
12164,40.7792090733,-73.9630508423,50,Traditional Art Museum,New York,9.309
12165,40.777348601,-73.9658617973,38,City Park,New York,9.262
12166,40.7759392167,-73.96573305,37,Playground,New York,9.126
12167,40.7748878,-73.9664840667,51,Sculpture,New York,9.065
12168,40.7741962409,-73.9670956135,114,Lake & Pond,New York,9.031
12169,40.7741045833,-73.96659135,63,Monument,New York,8.998
12170,40.7742333333,-73.9676642333,51,Sculpture,New York,9.062
12171,40.7750859041,-73.9687532187,38,City Park,New York,9.193
12172,40.7768367589,-73.9701318741,40,Nature Preserve,New York,9.419
12173,40.7724201667,-73.9694237667,38,City Park,New York,8.987
12174,40.7742937388,-73.9708399773,38,City Park,New York,9.226
12175,40.7724087538,-73.971580267,165,Plaza / Square,New York,9.097
12176,40.7702100167,-73.972342,51,Sculpture,New York,8.946
12177,40.7697594,-73.9722990833,51,Sculpture,New York,8.905
12178,40.7697916,-73.9700245833,116,Pavilion,New York,8.787
12179,40.7685248659,-73.9706146717,33,Zoo,New York,8.709
12181,40.7665584596,-73.973865509,114,Lake & Pond,New York,8.719
12182,40.7678220042,-73.9744609595,663,Ice Skating,New York,8.858
12183,40.7689762,-73.9743161167,116,Pavilion,New York,8.947
12184,40.7707268469,-73.973865509,38,City Park,New York,9.072
12185,40.7691371333,-73.9737582167,38,City Park,New York,8.93
12186,40.7682251833,-73.9768266667,37,Playground,New York,9.024
12187,40.7700199459,-73.9770948887,79,Stadium,New York,9.188
12188,40.7693517167,-73.9771485167,38,City Park,New York,9.135
12189,40.7721650018,-73.9775562286,236,Fine Dining,New York,9.394
12190,40.7729566,-73.9761829333,38,City Park,New York,9.387
12191,40.7720431255,-73.9750671387,38,City Park,New York,9.249
12192,40.7746624833,-73.9739727833,51,Sculpture,New York,9.418
12193,40.7777523833,-73.9727497,38,City Park,New York,9.63
12199,40.7114911,-74.00212525,165,Plaza / Square,New York,8.177
12202,40.6938628014,-73.9894276816,126,Courthouse,New York,7.266
12233,41.8808162167,-87.6730012833,51,Sculpture,Chicago,6.581
12313,40.7484436586,-73.9857316017,23,Skyscraper,New York,8.147
12345,40.7757236918,-73.9717841148,38,City Park,New York,9.4
12348,40.7829298615,-73.9589846134,52,Modern Art Museum,New York,9.496
12349,40.7698736895,-73.9752173424,38,City Park,New York,9.072
12430,41.9479207274,-87.6558351517,79,Stadium,Chicago,13.55
12482,40.7139802229,-73.9896757901,16,American,New York,7.15
12488,40.7581152522,-73.9866113663,16,American,New York,8.845
12505,40.7745781069,-73.8720059395,45,Airport,New York,7.929
12506,40.7589909036,-73.9682583421,24,Pub,New York,7.779
12515,41.835047,-87.8344917167,33,Zoo,Chicago,16.035
12520,40.7619022325,-73.9502620697,22,Historic Church,New York,7.106
12521,40.7603805587,-73.9511230588,166,Historic Landmark,New York,7.003
12522,40.7573594556,-73.954347074,219,Gondola,New York,6.886
12523,40.7611607002,-73.9641264081,219,Gondola,New York,7.729
12524,40.7625107798,-73.9678090679,35,Apparel,New York,8.045
12525,40.7612551699,-73.977579698,52,Modern Art Museum,New York,8.509
12526,40.7587897731,-73.9766871929,22,Historic Church,New York,8.265
12529,40.7732892,-73.96420955,52,Modern Art Museum,New York,8.81
12530,40.7720875667,-73.9652395167,35,Apparel,New York,8.75
12531,40.7654858498,-73.9698690176,239,Accessories,New York,8.409
12535,40.7638606505,-73.9729321003,230,Apple Store,New York,8.444
12536,40.7619347378,-73.9714944362,407,Four Seasons,New York,8.205
12571,40.7593667674,-73.9529442787,433,Starbucks,New York,6.997
12574,40.7664121957,-73.9694988728,240,Shoes,New York,8.467
12579,40.7235480753,-73.9884392917,58,Other - Entertainment,New York,7.226
12585,40.7262963043,-73.9842979609,193,Record Store,New York,6.971
12614,40.7356482703,-74.0067185437,24,Pub,New York,9.093
12633,40.7552111,-73.9839076833,121,Corporate Office,New York,8.465
12649,40.7637298,-73.9762043833,18,Asian,New York,8.622
12652,41.9653809,-87.8363370833,96,Bookstore,Chicago,22.337
12702,40.7222916506,-73.9942583299,236,Fine Dining,New York,7.672
12775,40.7566595,-73.92532825,24,Pub,New York,5.684
12819,40.7504689667,-73.9987564,28,Dive Bar,New York,9.195
12821,40.7657052487,-73.9472579956,20,Apartment,New York,7.342
12828,40.6868362333,-73.9778137167,103,Theatre,New York,6.55
12834,40.6870681468,-73.9779880605,64,Other - Food ,New York,6.555
12838,40.74510455,-73.9979839167,56,Other - Nightlife ,New York,8.845
12844,40.6873726833,-73.9861178333,26,Ultra-lounge,New York,7.189
12857,40.68591355,-73.9911174667,28,Dive Bar,New York,7.64
12871,40.7133814875,-73.9514409006,154,Burgers,New York,3.942
12897,41.9653487167,-87.68660545,1,Coffee Shop,Chicago,15.883
12929,40.7741475,-73.9638233167,49,Luxury Hotel,New York,8.87
12930,40.7751667333,-73.9624285667,19,Italian,New York,8.901
12931,40.7759571646,-73.9625479234,80,Dessert,New York,8.98
12933,40.7766902333,-73.9615273333,118,Health & Fitness,New York,9.003
12946,40.7854235167,-73.95062685,37,Playground,New York,9.434
12947,40.7141997917,-73.956130743,24,Pub,New York,4.347
12963,40.71686625,-73.9582872333,85,Pan Pacific,New York,4.582
12973,40.741388197,-73.9894545078,23,Skyscraper,New York,8.016
12989,40.7646407511,-73.9708614349,35,Apparel,New York,8.392
12990,41.88898085,-87.61766195,150,Fountain,Chicago,7.213
12993,40.7612729,-73.9740371667,49,Luxury Hotel,New York,8.299
12994,40.7643766556,-73.9743643999,49,Luxury Hotel,New York,8.568
13004,40.7242476833,-74.0039706167,64,Other - Food ,New York,8.518
13022,40.7527919861,-73.9772558212,95,Train Station,New York,7.86
13046,40.7448229722,-73.9988896641,1,Coffee Shop,New York,8.898
13048,40.7437509602,-73.9933277438,36,Technology,New York,8.428
13076,40.7377301171,-73.9865899086,59,Other - Art & Culture,New York,7.618
13116,40.7409248514,-74.0080475807,47,Modern Hotel,New York,9.412
13137,40.7667839736,-73.9673427058,82,French,New York,8.385
13140,41.831537949,-87.634318471,166,Historic Landmark,Chicago,0.802
13141,41.82703255,-87.6434755167,22,Historic Church,Chicago,0.188
13185,41.8575453667,-87.6448059,22,Historic Church,Chicago,3.459
13186,41.8401539167,-87.6416301667,110,Bakery,Chicago,1.513
13211,40.7456946333,-74.0063953333,59,Other - Art & Culture,New York,9.506
13218,40.7477704627,-74.006333787,188,Gallery,New York,9.605
13220,40.7472654587,-74.0051379539,59,Other - Art & Culture,New York,9.49
13223,40.7487452048,-74.0046548903,59,Other - Art & Culture,New York,9.531
13240,40.6882631667,-73.9788436833,103,Theatre,New York,6.577
13248,41.8972141526,-87.6210951805,52,Modern Art Museum,Chicago,8.034
13254,42.0480643121,-87.6808787806,902,,Chicago,24.848
13257,41.8994700192,-87.6240875803,11,Mall,Chicago,8.233
13258,41.9001495833,-87.6236271833,49,Luxury Hotel,Chicago,8.314
13260,41.9001817667,-87.62424945,23,Skyscraper,Chicago,8.309
13261,41.89894795,-87.6242923667,22,Historic Church,Chicago,8.173
13264,41.8967056167,-87.6225113833,182,Fire Station,Chicago,7.955
13265,41.8947207833,-87.6159453333,60,Other - Architecture,Chicago,7.866
13270,41.8524920833,-87.6317167167,51,Sculpture,Chicago,2.992
13271,41.8521595,-87.6339268667,51,Sculpture,Chicago,2.913
13274,40.7422044558,-73.9984585217,103,Theatre,New York,8.735
13313,40.72330355,-74.0029191833,35,Apparel,New York,8.41
13319,41.8902260685,-87.6340341568,155,Pizza,Chicago,7.106
13325,41.8938490118,-87.6170621584,121,Corporate Office,Chicago,7.748
13361,40.7524108833,-74.00978565,28,Dive Bar,New York,10.107
13371,40.7411524602,-74.0059876442,920,Design Within Reach,New York,9.262
13382,41.8779970787,-87.6473164558,98,Mediterranean,Chicago,5.743
13389,40.7146239167,-73.9980912167,26,Ultra-lounge,New York,7.862
13390,40.7259321167,-74.00156735,28,Dive Bar,New York,8.364
13424,41.8758002454,-87.618970871,150,Fountain,Chicago,5.781
13455,41.89309,-87.6134133333,99,Beach,Chicago,7.751
13497,40.7340431167,-73.9907956,54,Other - Shopping,New York,7.776
13499,41.907679,-87.627412,90,Modern,Chicago,9.095
13501,41.8360045258,-87.618150115,88,Victorian,Chicago,2.187
13506,41.885495,-87.698217,20,Apartment,Chicago,8.074
13510,41.801344,-87.59669,89,Craftsman,Chicago,4.639
13512,41.7240244022,-87.669788003,89,Craftsman,Chicago,11.642
13513,41.8961500166,-87.7881243825,89,Craftsman,Chicago,14.414
13516,41.71346,-87.669005,21,Home,Chicago,12.783
13528,41.7897368773,-87.5961828232,90,Modern,Chicago,5.544
13529,41.8815218399,-87.7650278807,21,Home,Chicago,11.933
13530,41.6727755826,-87.6308852434,21,Home,Chicago,17.12
13535,41.8306696333,-87.6437330167,154,Burgers,Chicago,0.501
13582,41.8807929392,-87.6742136478,79,Stadium,Chicago,6.619
13585,41.8906974667,-87.6350641167,60,Other - Architecture,Chicago,7.152
13586,41.8904829,-87.6322746167,59,Other - Art & Culture,Chicago,7.149
13590,40.7500602252,-74.0038024792,59,Other - Art & Culture,New York,9.539
13594,40.7501773864,-74.0040492712,59,Other - Art & Culture,New York,9.564
13598,40.7517242333,-74.0063309667,59,Other - Art & Culture,New York,9.816
13657,40.7241528174,-73.9828455448,154,Burgers,New York,6.787
13661,40.7196304555,-73.9847096776,236,Fine Dining,New York,6.825
13666,40.7182502667,-73.9904308167,28,Dive Bar,New York,7.273
13673,40.7454371333,-74.00588035,106,Grocery,New York,9.454
13692,41.9396613053,-87.6636135578,241,Bar,Chicago,12.713
13731,40.7332491833,-73.9909887167,96,Bookstore,New York,7.758
13732,33.8097918,-118.1337976333,15,Mexican,Los Angeles,23.714
13752,40.5738931667,-73.9755201667,76,Aquarium,New York,16.034
13753,34.0628314,-118.3991003,1,Coffee Shop,Los Angeles,15.414
13760,34.1244578333,-118.3057165,105,Scenic Lookout,Los Angeles,14.76
13761,34.1188950206,-118.3003655076,63,Monument,Los Angeles,14.011
13774,34.1183065768,-118.3003735542,213,Planetarium,Los Angeles,13.949
13788,34.0575660573,-118.415697813,47,Modern Hotel,Los Angeles,16.557
13795,34.08171415,-118.38888645,19,Italian,Los Angeles,15.695
13829,41.8577993455,-87.6219749451,1,Coffee Shop,Chicago,3.826
13832,34.00879025,-118.4950160833,37,Playground,Los Angeles,22.607
13837,34.00916575,-118.4976553833,74,Arcade,Los Angeles,22.851
13841,34.00860785,-118.49812745,75,Theme Park,Los Angeles,22.892
13846,34.0076100667,-118.4995222,15,Mexican,Los Angeles,23.017
13854,34.009552,-118.4972047667,86,Seafood,Los Angeles,22.812
13855,34.0100347833,-118.4963464667,58,Other - Entertainment,Los Angeles,22.735
13856,34.0115261,-118.4949731667,19,Italian,Los Angeles,22.618
13883,34.0043914167,-118.48596095,1,Coffee Shop,Los Angeles,21.757
13890,34.0147233,-118.4949088,30,Cineplex,Los Angeles,22.634
13893,34.0155386833,-118.4956812833,62,Toys & Games,Los Angeles,22.712
13898,34.0165901167,-118.4971833167,35,Apparel,Los Angeles,22.859
13907,34.0185989626,-118.498963697,106,Grocery,Los Angeles,23.041
13912,34.01682615,-118.4954023333,106,Grocery,Los Angeles,22.697
13923,40.7351966259,-74.0098285616,28,Dive Bar,New York,9.324
13955,34.0721654833,-118.3594679667,123,Breakfast,Los Angeles,12.889
13961,34.0724175663,-118.3589637279,62,Toys & Games,Los Angeles,12.87
13965,34.0721869333,-118.3585238333,51,Sculpture,Los Angeles,12.823
13968,34.072026,-118.35826635,460,Barnes & Noble,Los Angeles,12.793
13969,34.0722309386,-118.357847929,230,Apple Store,Los Angeles,12.777
13970,34.0719079833,-118.3592963167,106,Grocery,Los Angeles,12.859
13971,34.0721440167,-118.3579444833,16,American,Los Angeles,12.778
13972,34.071867,-118.357832,30,Cineplex,Los Angeles,12.751
13973,34.0717302417,-118.3576977212,1,Coffee Shop,Los Angeles,12.732
13981,41.8457114667,-87.6347208,15,Mexican,Chicago,2.2
14098,34.00417685,-118.4317588667,1,Coffee Shop,Los Angeles,16.761
14107,40.7380810493,-74.0006161553,59,Other - Art & Culture,New York,8.712
14148,40.7601773954,-73.9801606536,32,Live Music,New York,8.584
14151,40.7587125693,-73.9785754681,60,Other - Architecture,New York,8.376
14167,33.8195443,-118.1666064167,118,Health & Fitness,Los Angeles,21.491
14181,34.0507078167,-118.2551622333,102,Library,Los Angeles,5.658
14183,41.8717718,-87.6651477667,38,City Park,Chicago,5.403
14237,40.74350595,-73.95442485,103,Theatre,New York,5.735
14285,40.7728393801,-73.9829742908,31,Performing Arts,New York,9.752
