userid,n_in_region,n_in_region_raw,n_global
416,2,2,2
423,1,1,6
430,7,7,268
431,13,13,618
434,3,3,18
442,1,1,3
451,20,20,733
456,29,29,204
457,14,14,427
459,83,83,2414
466,9,9,19
467,2,2,215
468,5,5,778
481,34,34,35
484,383,406,3324
485,10,10,1313
492,3,3,48
495,39,39,414
515,18,19,3259
524,1706,2609,3592
530,4,4,171
531,42,43,192
541,6,6,153
550,4,4,1024
557,45,45,329
558,1,1,139
564,211,227,4485
566,2,2,102
568,128,128,647
578,1,1,555
580,2,2,24
588,138,140,574
591,2,2,88
602,90,110,117
607,1,1,165
612,290,295,2473
616,9,9,263
617,25,25,116
628,241,245,586
632,87,87,1412
635,1,1,13
636,3,3,20
642,4,5,443
663,17,20,393
665,1,1,185
670,2,2,469
672,118,123,298
679,30,30,30
686,1,1,2
691,1,1,8107
711,4,4,27
712,2,2,2
713,1,1,3481
714,8,8,342
737,5,5,881
745,51,56,1613
758,45,48,365
763,5,5,68
765,24,24,1062
771,52,54,263
772,49,50,1502
778,2,2,71
783,74,76,911
790,93,99,4390
794,2,2,92
796,2,2,2
801,10,11,1071
803,17,18,1049
806,17,17,394
812,8,8,8
825,591,630,4741
830,26,26,64
832,27,28,191
837,39,39,750
845,311,327,333
849,7,7,7
860,3,3,224
862,28,28,869
864,71,73,341
874,24,24,89
876,2,2,1729
900,226,234,895
917,21,21,517
921,2,2,409
936,782,816,1688
940,14,15,933
941,10,10,566
943,2,2,20146
946,1,1,21
950,10,10,987
965,3,3,213
966,1,1,496
978,7,7,39
990,741,790,6861
1005,19,19,3105
1007,12,12,216
1016,2,2,239
1019,30,31,377
1037,300,303,1817
1045,8,8,415
1048,14,14,116
1056,176,190,1189
1071,21,21,173
1077,2,2,1982
1086,28,28,212
1091,13,14,48
1094,19,28,2827
1095,18,22,665
1111,1247,1355,2585
1116,11,11,634
1118,6,6,874
1124,180,185,801
1125,60,61,374
1138,3,3,291
1139,57,60,229
1149,34,34,803
1150,4,4,2823
1152,3657,3818,10585
1159,21,21,850
1160,112,115,415
1163,21,21,965
1172,358,362,1471
1189,442,478,1561
1191,4,4,8
1192,18,18,68
1198,3,3,1481
1205,115,125,298
1210,5,5,297
1211,16,16,18
1213,2,2,2
1230,19,25,870
1245,31,31,1162
1252,2,2,59
1261,3,3,555
1280,308,309,386
1285,64,68,299
1286,42,45,147
1290,9,10,2015
1313,10,10,336
1315,23,23,887
1321,2,2,307
1327,3,3,77
1329,6,6,521
1333,1,1,60
1337,83,85,581
1338,1,1,272
1343,1999,2109,3464
1344,3,3,77
1356,8,8,12058
1360,17,18,546
1363,9,9,9
1364,39,80,2056
1369,8,8,217
1373,1,1,12
1387,100,101,207
1395,2,2,140
1399,15,15,6265
1425,2,2,267
1452,24,24,804
1454,3,3,130
1456,81,108,3790
1465,72,72,1381
1466,8,8,223
1468,147,151,1903
1472,13,13,338
1491,195,205,2506
1495,2,2,2
1496,9,9,3694
1506,49,51,64
1520,56,63,5485
1536,16,16,115
1543,4,4,364
1553,2,2,12
1564,166,173,7246
1566,12,13,668
1568,100,113,4096
1572,239,249,6420
1581,262,269,676
1582,44,44,247
1593,17,18,622
1596,52,52,1524
1597,1,1,88
1601,84,84,156
1602,13,13,998
1609,1,1,29
1613,25,25,631
1617,2,2,27
1623,46,47,65
1626,16,17,167
1628,382,402,970
1639,3,3,1841
1640,15,15,1787
1648,33,35,1564
1665,38,39,17212
1676,132,135,144
1686,1,1,245
1691,264,271,853
1696,7,8,562
1698,11,15,1999
1699,1,1,1793
1726,8,8,11
1728,21,21,333
1729,49,55,5248
1743,1,1,1238
1746,4,4,39
1747,71,71,76
1748,7,7,59
1749,27,27,222
1755,1,1,202
1756,26,26,877
1771,207,224,1799
1773,57,63,1018
1774,453,466,4002
1789,7,8,1539
1790,13,14,1789
1793,146,151,7814
1795,6,6,538
1797,2,2,1189
1808,8,8,97
1820,14,15,138
1835,1,1,10
1836,3,3,352
1841,10,10,678
1842,3,3,102
1843,1,1,131
1856,89,89,4864
1867,11,11,13
1869,3,3,379
1873,7,7,89
1880,9,9,221
1886,8,8,1407
1891,34,35,136
1906,4,4,112
1925,1,1,4623
1946,1254,1274,1930
1957,6,7,1164
1958,18,19,407
1960,1,1,150
1988,18,18,387
2002,27,27,703
2003,279,279,796
2004,1,1,594
2005,67,68,80
2012,4,4,25
2017,46,56,334
2019,451,463,817
2041,13,13,170
2046,60,61,3136
2047,10,10,502
2051,166,166,461
2063,9,10,101
2065,1,1,106
2088,5,6,2357
2094,2,2,386
2097,7,8,1873
2105,10,10,200
2111,2,2,48
2114,105,109,3340
2117,1,2,57
2122,65,66,70
2124,2,2,408
2133,27,28,3713
2147,81,82,276
2152,63,63,694
2159,6,6,11
2163,22,22,914
2164,66,66,540
2165,561,604,2072
2175,13,13,155
2183,151,155,1048
2191,1,1,280
2192,11,11,439
2194,13,13,217
2203,5,5,416
2210,41,43,496
2213,37,39,356
2214,430,431,5651
2217,3,3,497
2219,4,4,848
2225,153,162,187
2228,11,11,16
2236,9,10,577
2240,176,181,2463
2244,107,108,677
2274,11,12,159
2276,4,4,255
2296,7,7,54
2300,2,2,481
2304,17,18,477
2308,135,142,150
2314,26,26,841
2321,14,14,722
2322,16,16,83
2334,56,59,1296
2343,15,15,783
2355,1,1,1
2377,6,6,278
2385,2,2,175
2395,3,3,89
2401,123,126,1223
2404,4,5,575
2410,12,12,661
2418,1,1,629
2423,73,73,3023
2425,1489,1520,1795
2434,1,1,299
2446,24,25,39
2459,90,92,275
2464,1,1,10
2466,118,121,237
2467,1,1,1
2469,23,23,219
2477,2,2,1278
2478,4,4,442
2480,23,23,460
2487,1,1,453
2489,1049,1084,2120
2495,14,14,535
2513,32,33,124
2522,12,12,255
2529,4,4,1060
2532,5,5,1070
2540,6,6,300
2542,173,176,1893
2545,19,19,418
2549,1,1,585
2550,2,2,1061
2552,137,142,3404
2562,1,1,307
2564,1,1,18
2566,59,60,1960
2576,95,96,2519
2591,6,6,59
2604,4,4,19
2611,2,2,2695
2614,2,2,439
2616,1,5,4837
2617,1,1,538
2626,6,6,795
2641,8,8,14
2643,4376,4909,13024
2650,2,2,193
2651,1,1,1568
2672,17,18,407
2674,8,8,1001
2676,9,9,312
2681,63,66,1954
2684,3,3,576
2686,209,214,3321
2690,3,3,199
2696,126,127,184
2698,18,18,971
2701,22,46,3149
2702,18,34,4505
2709,22,22,557
2717,4,4,236
2719,16,16,839
2720,12,12,171
2722,1,1,1159
2723,263,296,4448
2731,33,34,191
2732,167,173,5652
2735,1,1,3420
2736,6,6,372
2743,414,427,3920
2754,19,19,1108
2756,7,7,121
2760,3,3,19
2764,127,135,1042
2766,5,5,27
2768,16,20,696
2770,22,23,278
2771,12,12,260
2774,1,1,30
2775,13,13,372
2780,9,9,756
2791,6,6,275
2802,1,1,620
2805,999,1031,1312
2808,1,1,5
2814,24,24,391
2819,11,11,542
2831,2,2,59
2835,1,1,51
2836,4,4,1139
2839,161,166,3165
2848,2,2,102
2852,7,7,10
2864,7,7,627
2868,5,5,75
2870,11,11,336
2871,9,9,170
2873,16,16,29
2874,30,30,123
2876,2,2,133
2878,17,18,740
2886,21,24,926
2892,1,1,208
2900,639,698,12977
2905,1,1,151
2908,56,60,1162
2910,46,47,322
2911,16,16,225
2915,6,6,1598
2919,2,2,247
2923,7,7,515
2925,3,3,74
2929,34,35,2820
2930,6,6,284
2933,11,11,608
2944,2,2,707
2945,38,38,59
2969,23,24,1589
2972,18,18,495
2979,38,76,2180
2980,85,86,7542
2982,2,2,135
2984,5,5,113
2998,2,2,58
2999,23,24,3509
3005,2,2,23
3007,209,215,1201
3008,1,1,115
3010,2,2,320
3011,4,4,127
3014,60,62,10180
3016,11,11,501
3018,50,52,1104
3022,6,6,145
3024,2,2,59
3028,12,12,3339
3036,1,1,760
3045,4,4,300
3046,13,13,99
3049,13,13,146
3050,189,191,8794
3052,151,155,270
3054,9,9,638
3061,3,3,71
3065,1,1,526
3066,3,3,51
3069,15,18,1403
3070,6,6,684
3086,2,2,685
3099,28,34,4627
3104,27,27,2149
3106,23,23,1229
3115,1,1,1581
3116,9,9,111
3117,68,70,2671
3118,10,10,1773
3122,10,10,1212
3125,33,35,2239
3144,17,19,1852
3152,1,1,24
3154,17,17,54
3156,35,36,768
3157,83,85,643
3158,1,1,42
3162,46,47,702
3170,544,570,802
3172,2,2,995
3174,1965,2133,2523
3175,4,4,24
3178,21,21,552
3180,13,13,13
3183,3,3,813
3186,1,1,2921
3192,4,4,231
3194,16,16,593
3197,5,5,516
3200,1,1,49
3201,3,3,769
3208,10,10,938
3210,46,47,1253
3211,1,1,586
3214,6,6,37
3216,1,1,221
3218,22,23,873
3221,22,23,1070
3225,45,46,92
3226,15,15,1999
3227,4,4,1043
3228,10,10,317
3230,1,1,670
3232,6,6,209
3239,19,19,541
3241,24,24,2076
3243,97,97,109
3245,184,199,3177
3246,2,2,123
3247,1,1,695
3251,239,244,268
3267,34,35,1844
3268,3,3,54
3277,9,9,245
3282,5,5,186
3298,2,2,281
3304,16,19,2794
3310,28,32,799
3328,42,47,1999
3332,1,1,25
3338,7,7,329
3340,3,3,221
3347,5,5,104
3359,3,3,3
3365,2,2,13
3367,63,63,524
3382,275,279,524
3384,20,20,1015
3391,2,2,580
3395,23,23,259
3396,88,88,2860
3401,17,17,55
3411,220,232,770
3414,28,29,893
3426,2,2,56
3445,18,18,211
3447,10,10,336
3461,1,1,26
3471,7,7,92
3473,14,14,389
3476,57,59,1469
3477,20,20,489
3481,317,327,798
3482,59,60,80
3486,12,12,405
3490,13,13,23
3495,189,191,283
3496,5,5,777
3501,73,73,2896
3503,14,14,15
3507,1,1,3453
3508,33,33,629
3513,13,13,128
3515,22,22,930
3516,12,12,1448
3529,2,2,6996
3531,117,120,512
3550,2,2,54
3551,9,9,66
3553,1,1,19
3558,47,56,1278
3559,10,10,567
3574,1,1,22
3575,1,1,6
3582,26,27,42
3603,5,5,709
3614,2,2,331
3619,13,13,115
3636,16,16,2386
3649,1,1,2
3650,3,3,3
3654,1,1,1
3655,27,27,27
3657,15,16,891
3658,9,9,10
3659,193,193,196
3660,17,17,19
3661,4,4,1532
3663,62,65,1179
3669,3,3,103
3676,45,47,665
3681,7,7,220
3688,101,102,151
3692,12,12,13
3714,44,45,306
3716,13,13,51
3717,233,253,3099
3718,1,1,288
3722,2,2,74
3725,12,12,1946
3727,1,1,832
3734,6,6,80
3737,7,7,322
3741,195,198,1197
3744,115,115,155
3745,3,3,132
3746,1,1,1
3750,8,8,299
3755,164,169,778
3762,51,51,71
3765,4,4,6
3767,17,17,1037
3774,4,4,5
3783,1,1,61
3793,4,4,68
3805,12,12,614
3807,30,30,1154
3809,41,46,2868
3811,11,11,14
3814,1,1,14
3824,3,3,1051
3826,4,4,63
3827,123,125,1940
3830,19,19,81
3832,21,22,839
3835,5,5,59
3837,334,339,510
3840,4,4,1222
3845,5,5,111
3848,10,10,88
3857,2,2,23
3864,5,5,44
3866,1,1,3
3878,9,9,315
3884,45,45,53
3939,2,2,88
3951,15,16,23
3953,2,2,2
3973,2,2,2
3974,17,17,21
3975,34,34,276
3986,8,8,14
3989,101,103,107
3992,1,2,232
3999,7,7,137
4001,1,1,2
4003,8,9,22
4005,5,5,5
4008,19,19,163
4011,1,1,1
4012,40,40,1629
4013,222,222,276
4022,85,85,700
4029,36,36,62
4036,1,1,23
4038,2,2,2
4053,2,2,10
4067,5,5,304
4070,2,2,6
4071,3,3,569
4075,10,10,14
4076,1,1,10
4080,3,3,29
4081,1,1,690
4086,2,2,2
4088,64,68,177
4091,5,5,230
4092,69,71,351
4093,6,6,4541
4094,2,2,3
4110,3,3,3
4112,30,31,700
4118,22,22,976
4131,6,6,66
4136,20,20,379
4140,11,11,1170
4141,1,1,937
4143,153,155,371
4144,119,120,187
4168,14,15,207
4177,160,168,7898
4184,57,57,712
4188,5,5,7
4196,3,3,449
4209,1,1,11
4251,9,9,17
4253,28,31,399
4256,5,5,273
4269,53,53,351
4308,5,5,5
4311,2,2,107
4315,1,1,1
4316,37,39,2371
4323,12,12,13
4339,1,1,281
4344,466,471,556
4351,337,344,1153
4358,4,4,1323
4359,5,5,140
4362,2,2,210
4363,2,2,28
4365,1,1,243
4370,5,5,395
4371,1,1,10
4374,11,11,2670
4375,1,1,11
4380,4,6,1809
4390,6,6,844
4392,6,6,98
4422,18,18,177
4426,1,1,271
4432,1,1,1
4437,21,21,264
4449,22,22,251
4453,44,45,1986
4463,2,2,561
4465,11,11,235
4466,13,13,14
4501,8,8,268
4504,7,7,160
4521,2,2,1563
4542,17,17,676
4558,5,6,14
4565,4,4,61
4586,1,1,427
4587,3,3,130
4602,4,4,18
4610,3,3,27
4613,5,5,61
4624,18,18,369
4626,66,70,73
4630,247,248,662
4635,12,12,330
4647,2,2,333
4650,262,276,429
4671,2,2,3
4678,1,1,31
4681,28,29,1122
4682,4,4,209
4685,36,36,744
4695,9,9,113
4696,183,187,836
4701,2,2,161
4707,1,1,2
4711,2,2,5
4718,4,4,116
4723,198,198,500
4729,16,34,1804
4733,1,1,612
4747,2,2,826
4751,4,5,12
4758,26,26,1176
4766,2,2,295
4774,1,1,1
4775,1,1,621
4777,11,11,14
4785,102,102,159
4799,51,52,209
4812,3,3,33
4815,52,53,206
4865,13,14,1556
4868,177,177,233
4869,24,24,26
4872,2,2,1071
4874,17,17,813
4884,10,10,209
4890,5,5,502
4891,12,12,712
4902,6,6,1138
4904,11,13,745
4906,4,4,131
4915,5,5,56
4918,2,2,310
4921,1,1,3
4922,89,92,2561
4927,3,3,11
4931,494,500,644
4932,194,196,342
4933,51,53,677
4939,2,2,88
4943,293,296,346
4945,1,1,1
4947,24,24,121
4949,5,5,46
4953,23,23,627
4958,1,1,1
4970,5,5,1759
4973,10,10,323
4975,40,42,1301
4989,4,4,60
4991,20,21,855
4996,3,3,83
4998,4,4,64
4999,1,1,8
5012,6,6,642
5014,1,1,165
5015,53,53,942
5021,3,3,10
5022,1,1,2
5035,21,21,329
5044,191,191,519
5062,4,4,43
5084,16,16,300
5097,12,12,910
5102,2,2,3
5103,2,2,345
5107,52,53,329
5112,1,1,362
5113,6,6,178
5117,13,13,1652
5118,6,6,65
5128,2,2,148
5130,19,19,79
5137,273,282,2487
5140,5,5,5
5141,98,98,107
5142,46,46,1666
5144,8,8,236
5153,117,120,30226
5155,72,73,14573
5162,1,1,137
5165,15,15,17
5166,46,47,131
5169,7,8,412
5170,73,74,497
5171,12,12,296
5174,30,30,101
5178,95,95,133
5182,1,1,1277
5186,6,7,388
5187,84,86,95
5202,21,21,37
5207,18,18,50
5209,83,83,7397
5212,3,3,119
5213,1,1,41
5229,1,1,1060
5249,19,19,480
5259,271,280,2237
5279,201,222,319
5286,65,65,107
5287,24,24,301
5294,4,4,324
5301,40,40,320
5304,1,1,6
5313,7,7,242
5318,62,64,588
5325,5,5,71
5326,198,205,1810
5333,7,8,1510
5335,7,7,77
5339,120,123,3516
5341,4,4,160
5348,42,46,1967
5354,2,2,186
5366,3,3,164
5373,23,23,242
5374,7,7,177
5385,19,19,843
5386,31,31,149
5388,2,2,179
5393,1,1,1
5402,30,31,585
5405,7,7,13
5407,1376,1409,1738
5408,2,2,73
5416,2,2,25
5417,1,1,103
5426,1,1,19
5431,2,2,104
5432,21,21,30
5453,2,2,99
5454,1,1,1
5455,2,2,93
5468,3,3,801
5478,8,8,578
5487,206,206,669
5488,1,1,272
5497,5,5,388
5498,35,36,39
5504,1,1,167
5507,1,1,17
5512,25,25,830
5521,25,25,30
5532,17,19,262
5537,1,1,30
5556,4,4,128
5565,8,8,458
5568,1,1,79
5583,3,3,608
5587,27,27,527
5602,15,15,471
5605,6,6,43
5608,14,14,317
5611,1,1,659
5615,3,3,433
5632,172,172,2221
5636,55,58,654
5646,361,368,6347
5651,4,4,53
5653,2,2,79
5657,684,743,1570
5659,276,279,372
5664,398,424,5285
5666,4,4,428
5676,10,10,770
5679,18,18,1054
5683,8,8,244
5686,10,10,11
5707,15,15,1599
5712,26,26,26
5713,15,15,189
5723,16,17,394
5725,384,408,890
5737,40,40,98
5746,50,50,2287
5750,316,323,558
5765,6,6,49
5767,2,2,128
5778,16,16,386
5779,1,1,61
5783,2,2,2
5786,13,13,115
5788,92,96,1278
5789,1,1,48
5791,1,1,132
5798,13,13,16
5803,5,5,21
5807,7,7,20
5808,166,166,383
5812,5,5,99
5829,52,54,614
5833,1,1,4
5860,119,121,658
5865,5,5,281
5866,5,5,248
5875,4,4,1453
5885,631,683,2007
5889,56,58,70
5901,138,140,198
5902,1,1,16
5905,29,30,964
5921,36,36,768
5923,16,16,282
5938,3,3,626
5944,25,25,50
5950,120,131,520
5952,62,62,214
5956,4,4,5
5963,1,1,119
5965,5,5,574
5988,3,3,5
6001,1344,1364,1995
6013,8,8,21
6014,17,17,606
6019,21,24,1138
6028,42,46,627
6032,79,87,5888
6033,50,55,481
6042,1,1,179
6050,13,13,186
6054,27,27,82
6065,18,18,348
6077,1,1,141
6080,301,307,450
6081,355,361,549
6095,14,28,1640
6106,2,2,4
6107,58,58,247
6109,146,146,197
6110,66,69,140
6114,7,8,39
6115,1,1,1
6125,6,6,67
6126,5,5,15
6131,3,3,18
6141,46,46,805
6142,31,32,385
6145,20,21,120
6146,58,58,742
6153,1,1,238
6178,1,1,26
6179,15,15,1281
6182,32,32,1013
6186,28,28,132
6189,6,6,146
6191,4,4,137
6192,7,7,50
6195,13,14,77
6200,44,46,1215
6203,3,3,17
6211,9,9,289
6212,1,1,7
6219,16,16,110
6228,63,63,68
6232,5,6,354
6236,9,10,141
6239,11,15,986
6242,3,3,16
6248,1,1,629
6252,307,309,1520
6275,1,1,140
6277,49,52,1823
6283,16,16,692
6289,157,159,1766
6300,7,7,153
6303,70,73,2149
6320,3,3,3
6322,3,4,719
6331,5,5,134
6334,6,6,14
6336,2,2,235
6341,7,7,26
6344,41,44,697
6346,953,957,1026
6350,41,41,103
6351,2582,2678,3319
6352,1,1,37
6374,10,10,47
6376,18,18,464
6377,5,5,45
6378,40,41,179
6382,120,133,2549
6385,1,1,26
6392,4,6,667
6395,20,23,5041
6400,13,13,352
6404,147,150,162
6405,3,3,1351
6411,83,84,1016
6412,2,2,64
6414,2,2,2691
6416,1,1,268
6418,13,13,276
6424,8,8,170
6427,84,89,111
6436,3,3,159
6437,8,9,667
6439,1,1,137
6440,13,13,1989
6448,2,2,105
6454,26,26,509
6460,1,1,4203
6477,54,56,1883
6479,178,183,219
6484,5,5,42
6491,31,32,409
6494,70,79,3614
6500,1,1,1014
6512,8,8,366
6515,16,16,278
6527,2,2,52
6530,13,13,32
6531,1,1,12
6534,52,53,456
6535,8,8,158
6537,11,11,26
6542,15,15,213
6545,3,3,177
6551,26,26,740
6562,2,2,223
6565,7,7,796
6566,91,91,326
6575,97,101,1765
6581,48,48,1335
6587,3,3,225
6596,440,444,9824
6600,25,25,816
6627,18,18,270
6638,111,111,449
6642,6,6,445
6648,2,2,4
6649,3,3,664
6654,2,2,818
6656,1,1,11
6675,7,7,39
6677,615,649,1153
6685,7,8,2026
6697,131,178,9502
6703,13,14,303
6706,3,3,172
6708,4,4,151
6716,1835,1862,2901
6720,2,2,103
6721,1,1,268
6735,8,8,208
6753,137,142,175
6758,1,1,1659
6763,64,66,667
6785,6,6,70
6793,5,5,67
6796,9,9,2075
6803,10,10,211
6808,24,24,1401
6814,3,3,498
6826,194,195,1215
6834,26,26,1693
6852,6,6,68
6853,67,68,98
6854,19,19,573
6857,4,4,21
6870,13,14,164
6875,13,13,540
6876,1,1,29
6899,100,101,1515
6902,74,75,498
6906,9,9,94
6909,2,2,343
6912,14,14,74
6913,20,21,618
6926,38,38,71
6928,26,27,2651
6930,33,33,365
6934,4,4,379
6938,7,7,410
6946,1,1,141
6951,40,40,751
6956,16,16,750
6965,1,1,51
6993,49,49,3772
7012,8,8,125
7033,27,27,505
7040,106,109,875
7042,14,14,38
7057,2,2,165
7058,2,2,295
7072,7,7,948
7077,36,36,111
7083,10,10,457
7084,1,1,116
7099,4,4,102
7103,14,15,15
7106,77,77,80
7108,10,10,206
7113,14,14,1850
7114,1,1,396
7116,48,50,2000
7121,2,2,60
7122,48,49,370
7125,2,2,284
7126,2,2,17
7129,7,7,74
7131,2,2,2
7138,29,29,34
7141,3,3,38
7144,63,65,362
7145,64,65,828
7150,3,3,124
7151,21,21,370
7163,3,3,453
7174,215,234,571
7179,13,13,13
7187,1,1,8
7193,34,34,34
7194,1,1,100
7205,31,32,482
7213,115,116,959
7227,3,3,497
7249,575,611,1029
7260,1,1,3
7261,4,4,6
7262,6,6,6
7267,1,1,1
7268,139,140,231
7271,4,4,288
7273,20,21,289
7283,15,15,16
7286,23,23,36
7287,2,2,170
7292,48,50,55
7293,377,387,846
7295,14,14,3234
7309,76,79,563
7310,27,27,1766
7315,24,24,1661
7330,2,2,239
7336,53,53,75
7338,12,12,32
7344,3,3,15
7345,17,17,126
7350,16,18,464
7355,1,1,151
7360,215,227,6148
7366,4,4,259
7378,1,1,129
7382,3,3,427
7383,41,42,1250
7396,1,1,349
7421,8,9,208
7426,7,8,694
7428,57,57,2791
7431,28,28,746
7440,9,9,159
7455,9,10,995
7479,6,6,381
7491,2,2,15
7506,17,17,672
7520,1,1,1675
7524,3,3,12
7534,40,44,760
7536,875,890,2283
7556,2,2,270
7559,17,17,425
7561,1,1,318
7566,3,3,27
7587,2,2,977
7589,3,3,47
7593,116,123,1968
7594,7,7,27
7605,41,41,55
7607,4,4,7
7608,10,10,10
7610,15,16,431
7619,4,4,72
7620,138,143,980
7626,107,114,537
7629,3,3,41
7630,239,241,956
7636,5,6,152
7647,6,6,130
7670,5,5,139
7674,10,10,462
7676,19,20,118
7691,29,29,47
7693,9,9,11
7695,1,1,674
7706,4,4,297
7712,5,5,213
7717,1,1,2
7737,7,7,114
7746,52,55,405
7760,1,1,115
7763,10,13,60
7764,161,162,201
7771,12,12,437
7775,76,79,322
7780,2,2,66
7782,5,5,5
7783,4,4,4
7788,11,11,1347
7797,110,111,236
7810,40,40,623
7812,1,1,697
7814,15,16,74
7826,56,56,942
7828,20,22,1217
7829,40,46,544
7838,1,1,34
7844,6,6,77
7845,110,110,6196
7853,1,1,2741
7855,15,15,116
7860,10,11,259
7864,2,2,188
7874,35,35,428
7877,36,36,70
7879,1,1,44
7880,26,26,711
7881,94,97,321
7883,3,3,63
7886,6,6,164
7890,3,3,41
7892,9,9,230
7896,6,7,51
7898,5,5,8
7899,1,1,504
7901,2,2,139
7902,39,43,1761
7903,211,220,373
7906,17,17,206
7916,60,63,870
7918,3,3,134
7921,9,9,35
7922,5,5,255
7932,47,53,155
7940,203,203,1724
7945,1,1,345
7971,518,538,2019
7982,14,14,997
7997,6,6,330
8004,711,720,1880
8015,114,116,653
8018,2,2,221
8028,387,391,532
8030,14,15,404
8031,885,895,16289
8032,40,42,283
8036,21,23,628
8037,256,266,3508
8038,14,14,322
8051,7,7,57
8055,2,2,52
8066,6,6,99
8070,24,28,684
8071,37,39,1729
8077,540,546,1261
8086,4,4,65
8090,1,1,51
8091,2,2,29
8098,107,107,584
8105,27,29,406
8109,6,6,143
8114,14,14,422
8120,16,16,609
8128,11,11,214
8129,1,1,91
8133,4,4,43
8134,1,1,183
8136,29,29,40
8143,2,2,28
8146,12,12,12
8164,4,4,47
8169,31,32,115
8187,107,108,1254
8193,16,16,397
8196,1,1,72
8201,3,3,14
8207,4,4,15
8209,3,3,63
8211,29,29,215
8227,9,9,141
8242,32,33,664
8253,72,72,105
8269,16,16,216
8279,187,189,294
8288,42,42,45
8294,41,41,574
8307,5,5,69
8312,1023,1063,1201
8317,2,2,4
8318,1,1,60
8319,6,6,182
8329,24,24,246
8334,8,8,467
8339,1,1,13
8347,1,1,26
8348,1,1,34
8355,4,4,883
8361,81,83,1306
8366,32,33,408
8378,57,58,174
8399,9,9,255
8400,1,1,579
8407,3,3,1326
8410,476,492,741
8419,21,21,427
8421,54,54,57
8423,78,78,228
8426,122,122,128
8437,11,11,557
8440,13,13,44
8446,1,1,243
8453,49,51,122
8459,18,18,122
8480,2,2,515
8496,4,4,763
8498,8,8,322
8500,10,20,114
8513,3,4,98
8549,5,5,60
8553,10,10,413
8577,28,28,61
8584,4,4,611
8591,39,40,385
8599,3,3,29
8604,20,20,834
8616,62,63,1360
8618,8,8,166
8622,7,7,254
8630,39,41,1021
8633,22,22,395
8634,1,1,63
8644,1450,1498,5418
8650,2,2,107
8653,5,5,35
8660,6,7,153
8664,379,385,1055
8666,119,119,1117
8672,40,41,2046
8676,1,1,7
8690,5,5,448
8704,2,2,46
8709,1,1,9
8711,31,31,562
8714,5,5,43
8727,1,1,5
8728,277,281,882
8739,1,1,508
8742,3,3,129
8743,1,1,11331
8758,4,4,237
8768,28,28,846
8771,18,18,78
8774,24,24,75
8783,16,16,583
8785,27,27,364
8808,86,87,106
8809,35,36,2235
8811,3,3,74
8828,1,1,533
8833,137,139,282
8837,8,8,99
8840,16,16,113
8852,5,5,542
8861,3,3,488
8876,2,2,25
8916,13,14,27
8933,3,3,902
8936,9,10,21
8967,29,29,214
8969,4,4,4
8973,29,29,48
8978,1,1,17
8982,2,2,4
8992,11,11,535
9006,22,23,185
9012,1,1,131
9016,16,17,593
9021,74,74,585
9022,83,89,1040
9032,344,349,865
9036,1,1,88
9041,2,2,13
9046,23,26,1471
9057,31,31,787
9094,52,52,948
9097,9,9,412
9108,150,155,156
9117,6,7,1110
9129,2,2,191
9163,19,20,152
9165,2,2,98
9167,111,112,675
9179,1,1,748
9183,101,102,720
9187,8,8,350
9188,1,1,84
9193,31,31,320
9198,36,36,409
9221,23,23,94
9225,164,177,1383
