userid1,userid2,source
2,580,crawl
2,57935,crawl
2,16982,crawl
2,24676,crawl
2,45658,crawl
2,138000,crawl
2,10850,crawl
2,246372,crawl
2,57446,crawl
2,1296692,crawl
2,25196,crawl
2,68210,crawl
2,632,crawl
2,2681,crawl
2,2684,crawl
2,8837,crawl
2,207494,crawl
2,2696,crawl
2,2698,crawl
2,2103958,crawl
2,672,crawl
2,2723,crawl
2,90793,crawl
2,23216,crawl
2,276595,crawl
2,142014,crawl
2,129727,crawl
2,15040,crawl
2,2760,crawl
2,17099,crawl
2,2766,crawl
2,2768,crawl
2,229496,crawl
2,74473,crawl
2,103147,crawl
2,273137,crawl
2,20947,crawl
2,262903,crawl
2,765,crawl
2,11007,crawl
2,17153,crawl
2,2126297,crawl
2,2819,crawl
2,156429,crawl
2,783,crawl
2,66320,crawl
2,790,crawl
2,2839,crawl
2,101146,crawl
2,127773,crawl
2,62238,crawl
2,17183,crawl
2,801,crawl
2,37668,crawl
2,806,crawl
2,2864,crawl
2,2396296,crawl
2,825,crawl
2,25738,crawl
2,4931,crawl
2,837,crawl
2,99147,crawl
2,156493,crawl
2,17240,crawl
2,315876,crawl
2,2908,crawl
2,138077,crawl
2,231962,crawl
2,2915,crawl
2,876,crawl
2,4975,crawl
2,2929,crawl
2,900,crawl
2,78729,crawl
2,152462,crawl
2,361359,crawl
2,5015,crawl
2,141124,crawl
2,4933,crawl
2,2979,crawl
2,7077,crawl
2,7083,crawl
2,20978,crawl
2,943,crawl
2,11190,crawl
2,11205,crawl
2,3014,crawl
2,29639,crawl
2,91085,crawl
2,89049,crawl
2,5084,crawl
2,197598,crawl
2,29670,crawl
2,7144,crawl
2,1016,crawl
2,1019,crawl
2,1313788,crawl
2,130056,crawl
2,1453229,crawl
2,9233,crawl
2,5141,crawl
2,13146,crawl
2,309765,crawl
2,3104,crawl
2,66595,crawl
2,860,crawl
2,25642,crawl
2,29740,crawl
2,5165,crawl
2,60462,crawl
2,1071,crawl
2,3125,crawl
2,42051,crawl
2,19534,crawl
2,16540,crawl
2,3156,crawl
2,3158,crawl
2,3170,crawl
2,1124,crawl
2,222326,crawl
2,107646,crawl
2,3201,crawl
2,97410,crawl
2,1163,crawl
2,7330,crawl
2,3241,crawl
2,7344,crawl
2,20681,crawl
2,9407,crawl
2,136384,crawl
2,113861,crawl
2,5325,crawl
2,1230,crawl
2,25818,crawl
2,105697,crawl
2,234723,crawl
2,5348,crawl
2,1261,crawl
2,3328,crawl
2,251142,crawl
2,12503,crawl
2,5388,crawl
2,9490,crawl
2,129923,crawl
2,15645,crawl
2,58654,crawl
2,859428,crawl
2,11575,crawl
2,1343,crawl
2,11584,crawl
2,25925,crawl
2,97609,crawl
2,1356,crawl
2,3411,crawl
2,11835,crawl
2,15716,crawl
2,135740,crawl
2,5487,crawl
2,127891,crawl
2,15745,crawl
2,23940,crawl
2,21901,crawl
2,830701,crawl
2,390550,crawl
2,3481,crawl
2,3482,crawl
2,9628,crawl
2,13733,crawl
2,1456,crawl
2,3508,crawl
2,20041,crawl
2,1466,crawl
2,3516,crawl
2,62915,crawl
2,259524,crawl
2,31134,crawl
2,3553,crawl
2,13800,crawl
2,11755,crawl
2,159212,crawl
2,241143,crawl
2,3582,crawl
2,6400,crawl
2,5035,crawl
2,1295876,crawl
2,15959,crawl
2,138769,crawl
2,67105,crawl
2,3676,crawl
2,11828,crawl
2,108126,crawl
2,1602,crawl
2,130629,crawl
2,3340,crawl
2,5707,crawl
2,1613,crawl
2,73295,crawl
2,5712,crawl
2,11862,crawl
2,1623,crawl
2,1628,crawl
2,9823,crawl
2,2567782,crawl
2,1639,crawl
2,26898,crawl
2,3007,crawl
2,15996,crawl
2,61704,crawl
2,3716,crawl
2,3717,crawl
2,130694,crawl
2,1686,crawl
2,3741,crawl
2,7838,crawl
2,312991,crawl
2,1696,crawl
2,1698,crawl
2,1699,crawl
2,115580,crawl
2,320798,crawl
2,265914,crawl
2,7874,crawl
2,7880,crawl
2,1756,crawl
2,7902,crawl
2,3809,crawl
2,17244,crawl
2,243434,crawl
2,22482,crawl
2,7918,crawl
2,243446,crawl
2,12025,crawl
2,50940,crawl
2,3848,crawl
2,2218284,crawl
2,116494,crawl
2,71441,crawl
2,1820,crawl
2,10015,crawl
2,352047,crawl
2,1843,crawl
2,110388,crawl
2,923449,crawl
2,2375482,crawl
2,88373,crawl
2,14647,crawl
2,22348,crawl
2,1873,crawl
2,255832,crawl
2,143194,crawl
2,141154,crawl
2,1891,crawl
2,10090,crawl
2,1906,crawl
2,108411,crawl
2,167810,crawl
2,6019,crawl
2,2155841,crawl
2,282506,crawl
2,110479,crawl
2,6033,crawl
2,26523,crawl
2,370595,crawl
2,4013,crawl
2,34738,crawl
2,6814,crawl
2,53175,crawl
2,453976,crawl
2,139206,crawl
2,337872,crawl
2,2002,crawl
2,262108,crawl
2,30691,crawl
2,6125,crawl
2,114680,crawl
3,1,crawl
3,2,crawl
3,4,crawl
3,5,crawl
3,12,crawl
3,29,crawl
3,309765,crawl
3,3104,crawl
3,33,crawl
3,60462,crawl
3,1071,crawl
3,11828,crawl
3,6716,crawl
3,1613,crawl
3,170096,crawl
3,97410,crawl
3,2696,crawl
3,1699,crawl
3,164,crawl
3,181,crawl
3,198,crawl
3,208,crawl
3,12503,crawl
3,3809,crawl
3,234723,crawl
3,262903,crawl
3,15099,crawl
3,61704,crawl
3,156429,crawl
3,62238,crawl
3,131382,crawl
3,1856,crawl
3,327,crawl
3,12429,crawl
3,2156374,crawl
3,103261,crawl
3,141154,crawl
3,61797,crawl
3,15766,crawl
3,2319769,crawl
3,26523,crawl
3,370595,crawl
3,13733,crawl
3,13800,crawl
4,1,crawl
4,2,crawl
4,3,crawl
4,5,crawl
4,12,crawl
4,24,crawl
4,25,crawl
4,29,crawl
4,3104,crawl
4,33,crawl
4,5468,crawl
4,43,crawl
4,1071,crawl
4,2097,crawl
4,2611,crawl
4,564,crawl
4,1613,crawl
4,3156,crawl
4,61015,crawl
4,25196,crawl
4,530,crawl
4,170096,crawl
4,114,crawl
4,97410,crawl
4,2696,crawl
4,243446,crawl
4,149,crawl
4,150687,crawl
4,1698,crawl
4,1699,crawl
4,58032,crawl
4,181,crawl
4,198,crawl
4,7880,crawl
4,208,crawl
4,3809,crawl
4,234723,crawl
4,2616,crawl
4,234,crawl
4,1261,crawl
4,6382,crawl
4,246,crawl
4,262903,crawl
4,14074,crawl
4,765,crawl
4,61704,crawl
4,2604,crawl
4,3340,crawl
4,134419,crawl
4,199960,crawl
4,101146,crawl
4,62238,crawl
4,17183,crawl
4,301,crawl
4,78729,crawl
4,315,crawl
4,837,crawl
4,327,crawl
4,12429,crawl
4,1873,crawl
4,141154,crawl
4,77677,crawl
4,4975,crawl
4,2418,crawl
4,33142,crawl
4,388,crawl
4,78730,crawl
4,15766,crawl
4,26523,crawl
4,86986,crawl
4,468,crawl
4,200185,crawl
4,2532,crawl
4,13800,crawl
4,1025015,crawl
4,26623,crawl
5,1,crawl
5,2,crawl
5,3,crawl
5,4,crawl
5,11,crawl
5,12,crawl
5,24,crawl
5,25,crawl
5,29,crawl
5,33,crawl
5,38,crawl
5,42,crawl
5,43,crawl
5,46,crawl
5,2097,crawl
5,60,crawl
5,92226,crawl
5,67,crawl
5,76,crawl
5,41042,crawl
5,97,crawl
5,101,crawl
5,170096,crawl
5,114,crawl
5,115,crawl
5,41077,crawl
5,120,crawl
5,147577,crawl
5,134,crawl
5,2396296,crawl
5,37004,crawl
5,12429,crawl
5,151,crawl
5,159,crawl
5,168,crawl
5,181,crawl
5,2117818,crawl
5,196,crawl
5,198,crawl
5,208,crawl
5,214,crawl
5,224,crawl
5,82152,crawl
5,234,crawl
5,28914,crawl
5,251,crawl
5,18689,crawl
5,4358,crawl
5,61704,crawl
5,10511,crawl
5,2094,crawl
5,39192,crawl
5,289,crawl
5,18730,crawl
5,53550,crawl
5,131382,crawl
5,69949,crawl
5,324,crawl
5,327,crawl
5,335,crawl
5,153942,crawl
5,344,crawl
5,61797,crawl
5,362,crawl
5,235887,crawl
5,102783,crawl
5,33142,crawl
5,29055,crawl
5,385,crawl
5,388,crawl
5,389,crawl
5,198041,crawl
5,399795,crawl
5,55370,crawl
5,451,crawl
5,243446,crawl
5,467,crawl
5,468,crawl
5,197077,crawl
5,763,crawl
5,484,crawl
5,485,crawl
5,375275,crawl
5,495,crawl
5,3156,crawl
5,530,crawl
5,2611,crawl
5,564,crawl
5,6716,crawl
5,16958,crawl
5,578,crawl
5,580,crawl
5,588,crawl
5,18433,crawl
5,51820,crawl
5,632,crawl
5,2681,crawl
5,2696,crawl
5,2709,crawl
5,2723,crawl
5,2319769,crawl
5,23216,crawl
5,276595,crawl
5,17099,crawl
5,2766,crawl
5,262903,crawl
5,15099,crawl
5,765,crawl
5,2819,crawl
5,778,crawl
5,214146,crawl
5,101146,crawl
5,62238,crawl
5,17183,crawl
5,801,crawl
5,54051,crawl
5,806,crawl
5,825,crawl
5,4931,crawl
5,2892,crawl
5,99147,crawl
5,17240,crawl
5,156132,crawl
5,2908,crawl
5,2911,crawl
5,876,crawl
5,4975,crawl
5,917,crawl
5,5015,crawl
5,2122649,crawl
5,7077,crawl
5,54182,crawl
5,54187,crawl
5,950,crawl
5,966,crawl
5,7113,crawl
5,336843,crawl
5,1025015,crawl
5,7163,crawl
5,1313788,crawl
5,9244,crawl
5,23582,crawl
5,3104,crawl
5,860,crawl
5,60462,crawl
5,1071,crawl
5,15412,crawl
5,3125,crawl
5,5178,crawl
5,1086,crawl
5,3158,crawl
5,1111,crawl
5,1124,crawl
5,148584,crawl
5,88594,crawl
5,97410,crawl
5,7344,crawl
5,1230,crawl
5,25818,crawl
5,234723,crawl
5,1261,crawl
5,3332,crawl
5,1527046,crawl
5,3340,crawl
5,1315,crawl
5,859428,crawl
5,11575,crawl
5,1343,crawl
5,1356,crawl
5,3411,crawl
5,17756,crawl
5,95587,crawl
5,135740,crawl
5,5487,crawl
5,19006,crawl
5,21901,crawl
5,15766,crawl
5,13720,crawl
5,3481,crawl
5,9628,crawl
5,9641,crawl
5,1426877,crawl
5,259524,crawl
5,13800,crawl
5,11755,crawl
5,200185,crawl
5,19964,crawl
5,393472,crawl
5,15959,crawl
5,378394,crawl
5,1626,crawl
5,118317,crawl
5,257582,crawl
5,169534,crawl
5,1613,crawl
5,5713,crawl
5,11862,crawl
5,1623,crawl
5,52826,crawl
5,108126,crawl
5,9830,crawl
5,58997,crawl
5,1562238,crawl
5,22151,crawl
5,3741,crawl
5,1698,crawl
5,1699,crawl
5,3755,crawl
5,16088,crawl
5,7902,crawl
5,3809,crawl
5,145142,crawl
5,14074,crawl
5,1820,crawl
5,2307883,crawl
5,1856,crawl
5,82232,crawl
5,1880,crawl
5,102241,crawl
5,141154,crawl
5,49010,crawl
5,2116652,crawl
5,28568,crawl
5,146756,crawl
5,26523,crawl
5,931759,crawl
5,34738,crawl
5,157619,crawl
5,90052,crawl
5,337872,crawl
5,22482,crawl
5,2199517,crawl
5,69625,crawl
11,2,crawl
11,5,crawl
11,2696,crawl
11,208011,crawl
11,60310,crawl
11,68762,crawl
11,380445,crawl
11,33,crawl
11,161571,crawl
11,43,crawl
11,825,crawl
11,318,crawl
11,36938,crawl
11,1356,crawl
11,211235,crawl
11,239700,crawl
11,130774,crawl
11,133080,crawl
11,8031,crawl
11,194912,crawl
11,2565009,crawl
11,152680,crawl
11,2328172,crawl
11,4975,crawl
11,170096,crawl
11,77429,crawl
12,1,crawl
12,2,crawl
12,3,crawl
12,4,crawl
12,5,crawl
12,15959,crawl
12,12429,crawl
12,67672,crawl
12,29,crawl
12,309765,crawl
12,3104,crawl
12,33,crawl
12,550,crawl
12,17756,crawl
12,42,crawl
12,43,crawl
12,558,crawl
12,5170,crawl
12,108126,crawl
12,60,crawl
12,67,crawl
12,580,crawl
12,1613,crawl
12,12367,crawl
12,71503,crawl
12,10511,crawl
12,1956026,crawl
12,1118,crawl
12,9823,crawl
12,1639,crawl
12,170096,crawl
12,4209,crawl
12,41077,crawl
12,3192,crawl
12,59519,crawl
12,130694,crawl
12,22151,crawl
12,2696,crawl
12,1163,crawl
12,30350,crawl
12,2191,crawl
12,63632,crawl
12,145,crawl
12,2709,crawl
12,663,crawl
12,3741,crawl
12,158,crawl
12,159,crawl
12,3232,crawl
12,1698,crawl
12,1699,crawl
12,5287,crawl
12,59561,crawl
12,2736,crawl
12,7880,crawl
12,181,crawl
12,2743,crawl
12,10937,crawl
12,65726,crawl
12,198,crawl
12,6344,crawl
12,306892,crawl
12,632,crawl
12,3809,crawl
12,99014,crawl
12,16118,crawl
12,262903,crawl
12,14074,crawl
12,200319,crawl
12,10492,crawl
12,765,crawl
12,226559,crawl
12,113861,crawl
12,2819,crawl
12,4358,crawl
12,61704,crawl
12,3340,crawl
12,783,crawl
12,10712,crawl
12,39192,crawl
12,62238,crawl
12,17183,crawl
12,5921,crawl
12,1315,crawl
12,324909,crawl
12,639278,crawl
12,21809,crawl
12,151348,crawl
12,32565,crawl
12,159370,crawl
12,1343,crawl
12,327,crawl
12,14160,crawl
12,234723,crawl
12,2189140,crawl
12,876,crawl
12,5487,crawl
12,33142,crawl
12,2368600,crawl
12,119957,crawl
12,51076,crawl
12,12169,crawl
12,151,crawl
12,15766,crawl
12,5015,crawl
12,2319769,crawl
12,26523,crawl
12,5021,crawl
12,5022,crawl
12,370595,crawl
12,7594,crawl
12,943,crawl
12,34738,crawl
12,7605,crawl
12,20917,crawl
12,58833,crawl
12,22482,crawl
12,108537,crawl
12,222373,crawl
12,5602,crawl
12,50,crawl
12,13800,crawl
12,5097,crawl
12,372533,crawl
24,1,crawl
24,4,crawl
24,5,crawl
24,2564,crawl
24,135178,crawl
24,25,crawl
24,29,crawl
24,33,crawl
24,65078,crawl
24,4671,crawl
24,2147365,crawl
24,150654,crawl
24,10372,crawl
24,51650,crawl
24,4751,crawl
24,91280,crawl
24,149,crawl
24,665,crawl
24,2213,crawl
24,23216,crawl
24,181,crawl
24,670431,crawl
24,6382,crawl
24,103156,crawl
24,246,crawl
24,30470,crawl
24,2343,crawl
24,132403,crawl
24,229173,crawl
24,11575,crawl
24,2372920,crawl
24,327,crawl
24,23940,crawl
24,54179,crawl
24,1456,crawl
24,20930,crawl
24,215521,crawl
24,151024,crawl
25,1,crawl
25,2,crawl
25,4,crawl
25,5,crawl
25,135178,crawl
25,24,crawl
25,2564,crawl
25,29,crawl
25,33,crawl
25,2147365,crawl
25,29740,crawl
25,65078,crawl
25,16958,crawl
25,2681,crawl
25,3208,crawl
25,91280,crawl
25,28819,crawl
25,149,crawl
25,665,crawl
25,3230,crawl
25,2213,crawl
25,13479,crawl
25,7860,crawl
25,181,crawl
25,15031,crawl
25,93372,crawl
25,94398,crawl
25,119,crawl
25,7902,crawl
25,670431,crawl
25,7396,crawl
25,3304,crawl
25,144623,crawl
25,246,crawl
25,27409,crawl
25,10372,crawl
25,2343,crawl
25,132403,crawl
25,11575,crawl
25,2372920,crawl
25,274247,crawl
25,96587,crawl
25,99902,crawl
25,23940,crawl
25,24976,crawl
25,2477,crawl
25,6814,crawl
25,103156,crawl
25,20930,crawl
25,26106,crawl
25,215521,crawl
25,151024,crawl
25,3061,crawl
25,1025015,crawl
29,63488,crawl
29,1,crawl
29,2,crawl
29,3,crawl
29,4,crawl
29,5,crawl
29,142423,crawl
29,12,crawl
29,29197,crawl
29,3086,crawl
29,228367,crawl
29,12429,crawl
29,24,crawl
29,25,crawl
29,3104,crawl
29,33,crawl
29,86058,crawl
29,43,crawl
29,1071,crawl
29,2611,crawl
29,1077,crawl
29,60,crawl
29,61,crawl
29,62,crawl
29,171531,crawl
29,1613,crawl
29,105315,crawl
29,5646,crawl
29,3158,crawl
29,138848,crawl
29,3170,crawl
29,530,crawl
29,170096,crawl
29,2163,crawl
29,120,crawl
29,151296,crawl
29,97410,crawl
29,2696,crawl
29,1163,crawl
29,149,crawl
29,5487,crawl
29,3741,crawl
29,1698,crawl
29,164,crawl
29,1189,crawl
29,132774,crawl
29,90793,crawl
29,127147,crawl
29,172,crawl
29,23216,crawl
29,6382,crawl
29,181,crawl
29,29884,crawl
29,136384,crawl
29,193,crawl
29,714,crawl
29,25804,crawl
29,208,crawl
29,178543,crawl
29,61654,crawl
29,25818,crawl
29,3809,crawl
29,234723,crawl
29,26342,crawl
29,309480,crawl
29,234,crawl
29,61680,crawl
29,246,crawl
29,262903,crawl
29,15099,crawl
29,2819,crawl
29,61704,crawl
29,118317,crawl
29,14101,crawl
29,39192,crawl
29,62238,crawl
29,289,crawl
29,211235,crawl
29,6951,crawl
29,301,crawl
29,302,crawl
29,7902,crawl
29,117641,crawl
29,94012,crawl
29,2698,crawl
29,318,crawl
29,1343,crawl
29,198,crawl
29,837,crawl
29,327,crawl
29,111956,crawl
29,2617,crawl
29,138077,crawl
29,141154,crawl
29,1891,crawl
29,4975,crawl
29,2418,crawl
29,16958,crawl
29,33142,crawl
29,2709,crawl
29,385,crawl
29,388,crawl
29,1925,crawl
29,78729,crawl
29,917,crawl
29,2319769,crawl
29,2459,crawl
29,26523,crawl
29,342439,crawl
29,943,crawl
29,1456,crawl
29,58032,crawl
29,243446,crawl
29,22482,crawl
29,1699,crawl
29,214485,crawl
29,200185,crawl
29,71503,crawl
29,71134,crawl
29,13800,crawl
29,241143,crawl
29,108537,crawl
33,1,crawl
33,2,crawl
33,3,crawl
33,4,crawl
33,5,crawl
33,11,crawl
33,12,crawl
33,12429,crawl
33,15383,crawl
33,24,crawl
33,25,crawl
33,29,crawl
33,3104,crawl
33,550,crawl
33,17244,crawl
33,42,crawl
33,60462,crawl
33,1071,crawl
33,2097,crawl
33,564,crawl
33,60,crawl
33,5182,crawl
33,42051,crawl
33,580,crawl
33,1613,crawl
33,1230,crawl
33,612,crawl
33,108,crawl
33,184850,crawl
33,170096,crawl
33,276595,crawl
33,120,crawl
33,214146,crawl
33,3717,crawl
33,2696,crawl
33,114826,crawl
33,1686,crawl
33,151,crawl
33,5487,crawl
33,2717,crawl
33,72590,crawl
33,159,crawl
33,1696,crawl
33,1698,crawl
33,1699,crawl
33,164,crawl
33,23216,crawl
33,320798,crawl
33,181,crawl
33,2743,crawl
33,265914,crawl
33,19658,crawl
33,113861,crawl
33,198,crawl
33,714,crawl
33,34942,crawl
33,451278,crawl
33,214,crawl
33,118999,crawl
33,204,crawl
33,3809,crawl
33,234723,crawl
33,15588,crawl
33,13800,crawl
33,234,crawl
33,1774,crawl
33,23795,crawl
33,262903,crawl
33,14074,crawl
33,765,crawl
33,61704,crawl
33,3340,crawl
33,101146,crawl
33,859428,crawl
33,2864,crawl
33,2396296,crawl
33,78729,crawl
33,11584,crawl
33,57687,crawl
33,837,crawl
33,327,crawl
33,2377,crawl
33,5468,crawl
33,39653,crawl
33,141154,crawl
33,1891,crawl
33,61797,crawl
33,6716,crawl
33,876,crawl
33,4975,crawl
33,2418,crawl
33,16958,crawl
33,33142,crawl
33,2168695,crawl
33,14712,crawl
33,389,crawl
33,123796,crawl
33,15766,crawl
33,35735,crawl
33,2319769,crawl
33,19006,crawl
33,2972,crawl
33,135740,crawl
33,26523,crawl
33,251292,crawl
33,83883,crawl
33,1385458,crawl
33,943,crawl
33,12723,crawl
33,385972,crawl
33,1466,crawl
33,9463,crawl
33,22482,crawl
33,13733,crawl
33,2532,crawl
33,62238,crawl
33,932779,crawl
33,19445,crawl
33,1019,crawl
33,3582,crawl
38,5,crawl
38,538895,crawl
38,151,crawl
38,9244,crawl
38,296,crawl
38,7344,crawl
38,153265,crawl
38,5182,crawl
38,4931,crawl
38,468,crawl
38,1756,crawl
38,15070,crawl
38,1313788,crawl
38,362,crawl
38,2496679,crawl
38,82152,crawl
38,765,crawl
38,8319,crawl
42,2,crawl
42,5,crawl
42,12,crawl
42,184850,crawl
42,33,crawl
42,154148,crawl
42,550,crawl
42,1678739,crawl
42,17970,crawl
42,55,crawl
42,67,crawl
42,26700,crawl
42,12367,crawl
42,14935,crawl
42,10850,crawl
42,59491,crawl
42,27237,crawl
42,1639,crawl
42,4209,crawl
42,115,crawl
42,111220,crawl
42,51832,crawl
42,1562238,crawl
42,2191,crawl
42,2709,crawl
42,663,crawl
42,5287,crawl
42,129727,crawl
42,222919,crawl
42,20681,crawl
42,1756,crawl
42,51968,crawl
42,3340,crawl
42,400146,crawl
42,2835,crawl
42,86811,crawl
42,142121,crawl
42,6211,crawl
42,197598,crawl
42,215521,crawl
42,133981,crawl
42,141154,crawl
42,2410,crawl
42,11635,crawl
42,12681,crawl
42,151,crawl
42,917,crawl
42,6050,crawl
42,121763,crawl
42,56752,crawl
42,950,crawl
42,2124,crawl
42,3022,crawl
42,158359,crawl
42,65703,crawl
42,129519,crawl
42,13300,crawl
42,19964,crawl
43,1,crawl
43,2,crawl
43,104963,crawl
43,4,crawl
43,5,crawl
43,134060,crawl
43,2698,crawl
43,11,crawl
43,12,crawl
43,8207,crawl
43,24976,crawl
43,221722,crawl
43,313288,crawl
43,84612,crawl
43,66257,crawl
43,50588,crawl
43,29,crawl
43,2720,crawl
43,53410,crawl
43,2467,crawl
43,214053,crawl
43,2982,crawl
43,129580,crawl
43,301,crawl
43,16046,crawl
43,943,crawl
43,72753,crawl
43,564,crawl
43,566,crawl
43,3401,crawl
43,825,crawl
43,2876,crawl
43,202302,crawl
43,4256,crawl
43,950,crawl
43,1609,crawl
43,29518,crawl
43,13903,crawl
43,3192,crawl
43,3340,crawl
43,5923,crawl
43,166828,crawl
43,11104,crawl
43,1124,crawl
43,21865,crawl
43,237,crawl
43,114,crawl
43,249587,crawl
43,11774,crawl
43,120,crawl
43,10878,crawl
46,45465,crawl
