u1,u2,mask_weight
1,18108,1.5
1,18258,1.5
1,18271,1.5
1,18378,1.5
1,18460,1.5
1,18487,1.5
1,18555,1.5
1,18782,1.5
1,18802,1.5
1,18960,1.5
1,19171,1.5
1,20052,1.5
1,20065,1.5
1,20179,1.5
1,20273,1.5
1,20438,1.5
1,21037,1.5
1,21407,1.5
1,21670,1.5
1,21906,1.5
1,22482,1.5
1,22818,1.5
1,23013,1.5
1,23336,1.5
1,23614,1.5
1,23656,1.5
1,23749,1.5
1,23765,1.5
1,24338,1.5
1,24339,1.5
1,24384,1.5
1,24566,1.5
1,25891,1.5
1,26507,1.5
1,27173,1.5
1,28116,1.5
1,28456,1.5
1,29220,1.5
1,29877,1.5
1,30151,1.5
1,30665,1.5
1,31101,1.5
2,3,1.5
2,4,1.5
2,6,1.5
2,9,1.5
2,10,1.5
2,54,1.5
2,58,1.5
2,63,1.5
2,66,1.5
2,98,1.5
2,221,1.5
2,304,1.5
2,318,1.5
2,344,1.5
2,469,1.5
2,564,1.5
2,708,1.5
2,1173,1.5
2,1856,1.5
2,1933,1.5
2,1943,1.5
2,2104,1.5
2,2109,1.5
2,2291,1.5
2,2374,1.5
2,3627,1.5
2,5818,1.5
2,5955,1.5
2,5966,1.5
2,6030,1.5
2,9264,1.5
2,9762,1.5
2,11768,1.5
2,12470,1.5
2,13585,1.5
2,14462,1.5
2,17353,1.5
2,18487,1.5
2,20065,1.5
2,21906,1.5
2,27178,1.5
2,29220,1.5
3,4,1.5
3,6,1.5
3,7,1.5
3,8,1.5
3,9,1.5
3,10,1.5
3,13,1.5
3,40,1.5
3,49,1.5
3,58,1.5
3,63,1.5
3,66,1.5
3,72,1.5
3,74,1.5
3,88,1.5
3,94,1.5
3,98,1.5
3,112,1.5
3,131,1.5
3,139,1.5
3,145,1.5
3,177,1.5
3,192,1.5
3,221,1.5
3,252,1.5
3,304,1.5
3,317,1.5
3,318,1.5
3,347,1.5
3,373,1.5
3,421,1.5
3,440,1.5
3,452,1.5
3,453,1.5
3,455,1.5
3,469,1.5
3,564,1.5
3,575,1.5
3,622,1.5
3,708,1.5
3,879,1.5
3,965,1.5
3,1113,1.5
3,1348,1.5
3,1933,1.5
3,2109,1.5
3,2151,1.5
3,2374,1.5
3,2545,1.5
3,3481,1.5
3,3627,1.5
3,3640,1.5
3,4109,1.5
3,5557,1.5
3,5874,1.5
3,5955,1.5
3,6030,1.5
3,7570,1.5
3,7664,1.5
3,7665,1.5
3,8403,1.5
3,9264,1.5
3,9583,1.5
3,12018,1.5
3,12470,1.5
3,13121,1.5
3,14462,1.5
3,15774,1.5
3,15781,1.5
3,17353,1.5
3,17769,1.5
3,18487,1.5
3,23930,1.5
4,5,1.5
4,6,1.5
4,7,1.5
4,8,1.5
4,9,1.5
4,10,1.5
4,11,1.5
4,12,1.5
4,13,1.5
4,14,1.5
4,18,1.5
4,22,1.5
4,26,1.5
4,31,1.5
4,33,1.5
4,40,1.5
4,41,1.5
4,43,1.5
4,46,1.5
4,50,1.5
4,53,1.5
4,55,1.5
4,58,1.5
4,61,1.5
4,63,1.5
4,66,1.5
4,68,1.5
4,70,1.5
4,72,1.5
4,75,1.5
4,81,1.5
4,97,1.5
4,98,1.5
4,100,1.5
4,102,1.5
4,106,1.5
4,110,1.5
4,112,1.5
4,113,1.5
4,125,1.5
4,130,1.5
4,131,1.5
4,133,1.5
4,134,1.5
4,136,1.5
4,139,1.5
4,145,1.5
4,148,1.5
4,149,1.5
4,150,1.5
4,158,1.5
4,176,1.5
4,177,1.5
4,180,1.5
4,185,1.5
4,187,1.5
4,189,1.5
4,195,1.5
4,199,1.5
4,201,1.5
4,208,1.5
4,210,1.5
4,221,1.5
4,223,1.5
4,227,1.5
4,230,1.5
4,249,1.5
4,252,1.5
4,258,1.5
4,265,1.5
4,267,1.5
4,304,1.5
4,306,1.5
4,307,1.5
4,317,1.5
4,318,1.5
4,338,1.5
4,344,1.5
4,348,1.5
4,372,1.5
4,373,1.5
4,453,1.5
4,465,1.5
4,469,1.5
4,473,1.5
4,478,1.5
4,488,1.5
4,500,1.5
4,516,1.5
4,519,1.5
4,521,1.5
4,564,1.5
4,571,1.5
4,575,1.5
4,577,1.5
4,620,1.5
4,622,1.5
4,633,1.5
4,643,1.5
4,694,1.5
4,699,1.5
4,708,1.5
4,788,1.5
4,867,1.5
4,879,1.5
4,887,1.5
4,918,1.5
4,967,1.5
4,1002,1.5
4,1173,1.5
4,1218,1.5
4,1225,1.5
4,1240,1.5
4,1269,1.5
4,1358,1.5
4,1533,1.5
4,1590,1.5
4,1593,1.5
4,1615,1.5
4,1700,1.5
4,1821,1.5
4,1845,1.5
4,1862,1.5
4,1933,1.5
4,2099,1.5
4,2109,1.5
4,2151,1.5
4,2291,1.5
4,2325,1.5
4,2374,1.5
4,2396,1.5
4,2419,1.5
4,2511,1.5
4,2533,1.5
4,2545,1.5
4,2550,1.5
4,2616,1.5
4,2714,1.5
4,2738,1.5
4,2743,1.5
4,2786,1.5
4,2892,1.5
4,3146,1.5
4,3170,1.5
4,3208,1.5
4,3289,1.5
4,3338,1.5
4,3553,1.5
4,3627,1.5
4,3808,1.5
4,3848,1.5
4,3858,1.5
4,4109,1.5
4,4183,1.5
4,4262,1.5
4,4339,1.5
4,4456,1.5
4,4457,1.5
4,4788,1.5
4,5000,1.5
4,5068,1.5
4,5142,1.5
4,5175,1.5
4,5194,1.5
4,5195,1.5
4,5286,1.5
4,5657,1.5
4,5818,1.5
4,5955,1.5
4,5966,1.5
4,6030,1.5
4,6752,1.5
4,6806,1.5
4,7987,1.5
4,7991,1.5
4,8544,1.5
4,8701,1.5
4,8868,1.5
4,9154,1.5
4,9264,1.5
4,9400,1.5
4,9583,1.5
4,9690,1.5
4,9722,1.5
4,10131,1.5
4,10892,1.5
4,11768,1.5
4,12125,1.5
4,12470,1.5
4,12712,1.5
4,12788,1.5
4,12868,1.5
4,12965,1.5
4,13380,1.5
4,13557,1.5
4,13683,1.5
4,14432,1.5
4,14462,1.5
4,15645,1.5
4,15695,1.5
4,15781,1.5
4,16395,1.5
4,17353,1.5
4,17399,1.5
4,17769,1.5
4,18308,1.5
4,18378,1.5
4,18487,1.5
4,18960,1.5
4,21001,1.5
4,21037,1.5
4,22039,1.5
4,22118,1.5
4,22551,1.5
4,22700,1.5
4,23656,1.5
4,23764,1.5
4,23930,1.5
4,24384,1.5
4,24532,1.5
4,24682,1.5
4,24737,1.5
4,26216,1.5
4,26283,1.5
4,26421,1.5
4,27848,1.5
4,29102,1.5
4,29220,1.5
4,30151,1.5
5,10,1.5
5,13,1.5
5,96,1.5
5,189,1.5
5,267,1.5
5,469,1.5
5,879,1.5
5,1376,1.5
5,4260,1.5
5,5806,1.5
5,6672,1.5
5,7541,1.5
5,11731,1.5
5,11917,1.5
5,13282,1.5
5,13987,1.5
5,14462,1.5
5,15551,1.5
5,16089,1.5
5,16262,1.5
5,17586,1.5
5,22185,1.5
5,29359,1.5
5,31087,1.5
6,9,1.5
6,10,1.5
6,12,1.5
6,13,1.5
6,15,1.5
6,18,1.5
6,22,1.5
6,48,1.5
6,50,1.5
6,52,1.5
6,53,1.5
6,58,1.5
6,63,1.5
6,98,1.5
6,142,1.5
6,144,1.5
6,149,1.5
6,158,1.5
6,162,1.5
6,177,1.5
6,181,1.5
6,199,1.5
6,206,1.5
6,229,1.5
6,239,1.5
6,258,1.5
6,265,1.5
6,304,1.5
6,309,1.5
6,317,1.5
6,318,1.5
6,389,1.5
6,469,1.5
6,473,1.5
6,482,1.5
6,483,1.5
6,500,1.5
6,564,1.5
6,587,1.5
6,604,1.5
6,622,1.5
6,694,1.5
6,708,1.5
6,775,1.5
6,788,1.5
6,887,1.5
6,888,1.5
6,889,1.5
6,894,1.5
6,915,1.5
6,932,1.5
6,967,1.5
6,982,1.5
6,1033,1.5
6,1104,1.5
6,1299,1.5
6,1300,1.5
6,1348,1.5
6,1613,1.5
6,1698,1.5
6,1700,1.5
6,1732,1.5
6,1760,1.5
6,1896,1.5
6,1926,1.5
6,1933,1.5
6,2109,1.5
6,2151,1.5
6,2159,1.5
6,2374,1.5
6,2396,1.5
6,2424,1.5
6,2545,1.5
6,2616,1.5
6,3024,1.5
6,3131,1.5
6,3170,1.5
6,3208,1.5
6,3627,1.5
6,3979,1.5
6,4081,1.5
6,4109,1.5
6,4183,1.5
6,4339,1.5
6,4457,1.5
6,4919,1.5
6,5631,1.5
6,5741,1.5
6,5745,1.5
6,5955,1.5
6,6030,1.5
6,6171,1.5
6,6380,1.5
6,6571,1.5
6,6943,1.5
6,9385,1.5
6,10131,1.5
6,10171,1.5
6,10549,1.5
6,11034,1.5
6,11720,1.5
6,13191,1.5
6,13835,1.5
6,14462,1.5
6,15789,1.5
6,16760,1.5
6,16983,1.5
6,17353,1.5
6,18487,1.5
6,19965,1.5
6,20065,1.5
6,20571,1.5
6,21906,1.5
6,21974,1.5
6,23236,1.5
6,25344,1.5
6,27703,1.5
6,29220,1.5
6,29809,1.5
7,8,1.5
7,9,1.5
7,10,1.5
7,49,1.5
7,58,1.5
7,74,1.5
7,98,1.5
7,163,1.5
7,279,1.5
7,394,1.5
7,413,1.5
7,448,1.5
7,826,1.5
7,841,1.5
7,1113,1.5
7,1682,1.5
7,1821,1.5
7,3028,1.5
7,3289,1.5
7,3380,1.5
7,3983,1.5
7,4980,1.5
7,5193,1.5
7,6315,1.5
7,8798,1.5
7,9752,1.5
7,11849,1.5
7,12088,1.5
7,13117,1.5
7,13154,1.5
7,16472,1.5
7,17105,1.5
7,23301,1.5
7,26967,1.5
7,29849,1.5
8,9,1.5
8,10,1.5
8,42,1.5
8,49,1.5
8,58,1.5
8,74,1.5
8,163,1.5
8,394,1.5
8,413,1.5
8,431,1.5
8,448,1.5
8,465,1.5
8,557,1.5
8,592,1.5
8,603,1.5
8,617,1.5
8,1185,1.5
8,1278,1.5
8,1343,1.5
8,1358,1.5
8,1682,1.5
8,1821,1.5
8,2069,1.5
8,2278,1.5
8,2511,1.5
8,3028,1.5
8,3380,1.5
8,3461,1.5
8,3579,1.5
8,3714,1.5
8,3836,1.5
8,3942,1.5
8,6315,1.5
8,8798,1.5
8,8971,1.5
8,9067,1.5
8,9214,1.5
8,9462,1.5
8,9752,1.5
8,11849,1.5
8,12088,1.5
8,12682,1.5
8,13154,1.5
8,16472,1.5
8,18848,1.5
8,23301,1.5
8,23930,1.5
8,26967,1.5
8,29849,1.5
9,10,1.5
9,13,1.5
9,18,1.5
9,19,1.5
9,20,1.5
9,43,1.5
9,49,1.5
9,54,1.5
9,56,1.5
9,58,1.5
9,60,1.5
9,63,1.5
9,66,1.5
9,72,1.5
9,74,1.5
9,81,1.5
9,88,1.5
9,89,1.5
9,96,1.5
9,98,1.5
9,110,1.5
9,112,1.5
9,139,1.5
9,172,1.5
9,192,1.5
9,201,1.5
9,206,1.5
9,221,1.5
9,222,1.5
9,239,1.5
9,241,1.5
9,265,1.5
9,279,1.5
9,304,1.5
9,317,1.5
9,318,1.5
9,350,1.5
9,352,1.5
9,384,1.5
9,421,1.5
9,426,1.5
9,453,1.5
9,456,1.5
9,469,1.5
9,470,1.5
9,473,1.5
9,500,1.5
9,562,1.5
9,564,1.5
9,577,1.5
9,579,1.5
9,694,1.5
9,708,1.5
9,879,1.5
9,967,1.5
9,989,1.5
9,1113,1.5
9,1207,1.5
9,1358,1.5
9,1933,1.5
9,2109,1.5
9,2154,1.5
9,2291,1.5
9,2511,1.5
9,3208,1.5
9,3289,1.5
9,3549,1.5
9,3553,1.5
9,3612,1.5
9,3627,1.5
9,3875,1.5
9,3957,1.5
9,4109,1.5
9,4339,1.5
9,5557,1.5
9,5945,1.5
9,5950,1.5
9,5955,1.5
9,6030,1.5
9,6158,1.5
9,6912,1.5
9,6943,1.5
9,7664,1.5
9,8315,1.5
9,8746,1.5
9,9024,1.5
9,9264,1.5
9,9915,1.5
9,10171,1.5
9,10419,1.5
9,10829,1.5
9,10892,1.5
9,11473,1.5
9,11889,1.5
9,12171,1.5
9,12263,1.5
9,12315,1.5
9,12470,1.5
9,12563,1.5
9,13184,1.5
9,14462,1.5
9,14526,1.5
9,14858,1.5
9,15781,1.5
9,16262,1.5
9,16427,1.5
9,17065,1.5
9,17353,1.5
9,17676,1.5
9,17769,1.5
9,18487,1.5
9,20052,1.5
9,21169,1.5
9,29220,1.5
10,12,1.5
10,18,1.5
10,36,1.5
10,43,1.5
10,50,1.5
10,53,1.5
10,54,1.5
10,58,1.5
10,63,1.5
10,64,1.5
10,68,1.5
10,72,1.5
10,98,1.5
10,113,1.5
10,142,1.5
10,145,1.5
10,149,1.5
10,154,1.5
10,172,1.5
10,177,1.5
10,192,1.5
10,199,1.5
10,206,1.5
10,216,1.5
10,221,1.5
10,249,1.5
10,281,1.5
10,304,1.5
10,314,1.5
10,316,1.5
10,317,1.5
10,318,1.5
10,331,1.5
10,350,1.5
10,373,1.5
10,415,1.5
10,421,1.5
10,440,1.5
10,469,1.5
10,474,1.5
10,483,1.5
10,507,1.5
10,532,1.5
10,564,1.5
10,622,1.5
10,665,1.5
10,687,1.5
10,708,1.5
10,879,1.5
10,919,1.5
10,965,1.5
10,967,1.5
10,1173,1.5
10,1564,1.5
10,1823,1.5
10,1933,1.5
10,1972,1.5
10,2104,1.5
10,2109,1.5
10,2151,1.5
10,2239,1.5
10,2322,1.5
10,2346,1.5
10,2374,1.5
10,2511,1.5
10,2552,1.5
10,2786,1.5
10,2833,1.5
10,2857,1.5
10,3208,1.5
10,3289,1.5
10,3356,1.5
10,3627,1.5
10,4109,1.5
10,4190,1.5
10,4217,1.5
10,4373,1.5
10,4489,1.5
10,5510,1.5
10,5818,1.5
10,5955,1.5
10,5966,1.5
10,6030,1.5
10,7066,1.5
10,7664,1.5
10,8130,1.5
10,9583,1.5
10,10549,1.5
10,10620,1.5
10,10952,1.5
10,11294,1.5
10,12125,1.5
10,12470,1.5
10,14462,1.5
10,15132,1.5
10,16395,1.5
10,17353,1.5
10,18118,1.5
10,18487,1.5
10,18555,1.5
10,18960,1.5
10,20438,1.5
10,22359,1.5
10,22812,1.5
10,23656,1.5
10,23765,1.5
10,24455,1.5
10,27399,1.5
10,29220,1.5
10,30151,1.5
11,50,1.5
11,85,1.5
11,106,1.5
11,131,1.5
11,177,1.5
11,328,1.5
11,867,1.5
11,919,1.5
11,1269,1.5
11,1422,1.5
11,1533,1.5
11,2289,1.5
11,7987,1.5
11,13332,1.5
11,23009,1.5
11,24384,1.5
11,30702,1.5
12,16,1.5
12,22,1.5
12,41,1.5
12,50,1.5
12,142,1.5
12,162,1.5
12,201,1.5
12,208,1.5
12,309,1.5
12,328,1.5
12,379,1.5
12,389,1.5
12,420,1.5
12,473,1.5
12,502,1.5
12,547,1.5
12,622,1.5
12,775,1.5
12,932,1.5
12,1051,1.5
12,1082,1.5
12,1752,1.5
12,1827,1.5
12,1926,1.5
12,1964,1.5
12,2039,1.5
12,2264,1.5
12,2662,1.5
12,2892,1.5
12,2979,1.5
12,3652,1.5
12,3701,1.5
12,5002,1.5
12,5015,1.5
12,5407,1.5
12,5736,1.5
12,6375,1.5
12,8386,1.5
12,10372,1.5
12,11154,1.5
12,11630,1.5
12,11649,1.5
12,11996,1.5
12,12470,1.5
12,12545,1.5
12,13411,1.5
12,13751,1.5
12,15132,1.5
12,15667,1.5
12,16472,1.5
12,16790,1.5
12,22711,1.5
12,24737,1.5
12,24929,1.5
13,40,1.5
13,43,1.5
13,73,1.5
13,88,1.5
13,145,1.5
13,146,1.5
13,189,1.5
13,206,1.5
13,208,1.5
13,230,1.5
13,303,1.5
13,429,1.5
13,470,1.5
13,476,1.5
13,513,1.5
13,535,1.5
13,587,1.5
13,622,1.5
13,632,1.5
13,778,1.5
13,1034,1.5
13,1408,1.5
13,1755,1.5
13,1780,1.5
13,1847,1.5
13,2129,1.5
13,2410,1.5
13,3140,1.5
13,3461,1.5
13,3907,1.5
13,4899,1.5
13,5130,1.5
13,6435,1.5
13,7084,1.5
13,8187,1.5
13,9884,1.5
13,11643,1.5
13,12004,1.5
13,14314,1.5
13,15869,1.5
13,16388,1.5
13,16732,1.5
13,18044,1.5
13,20192,1.5
14,26,1.5
14,55,1.5
14,69,1.5
14,70,1.5
14,81,1.5
14,87,1.5
14,130,1.5
14,131,1.5
14,149,1.5
14,165,1.5
14,342,1.5
14,343,1.5
14,372,1.5
14,402,1.5
14,470,1.5
14,521,1.5
14,571,1.5
14,598,1.5
14,606,1.5
14,643,1.5
14,741,1.5
14,867,1.5
14,869,1.5
14,1076,1.5
14,1124,1.5
14,1125,1.5
14,1154,1.5
14,1427,1.5
14,1590,1.5
14,2447,1.5
14,3089,1.5
14,3374,1.5
14,3495,1.5
14,4171,1.5
14,4655,1.5
14,8823,1.5
14,9958,1.5
14,12881,1.5
14,24266,1.5
15,18,1.5
15,43,1.5
15,60,1.5
15,148,1.5
15,206,1.5
15,234,1.5
15,249,1.5
15,321,1.5
15,442,1.5
15,446,1.5
15,1169,1.5
15,5233,1.5
15,5712,1.5
15,6672,1.5
15,7309,1.5
15,7732,1.5
15,11706,1.5
15,15298,1.5
15,16481,1.5
15,18935,1.5
15,19813,1.5
15,21870,1.5
15,23987,1.5
15,27265,1.5
15,29100,1.5
16,22,1.5
16,125,1.5
16,393,1.5
16,993,1.5
16,1533,1.5
16,1787,1.5
16,2979,1.5
16,3215,1.5
16,5015,1.5
16,7987,1.5
16,9832,1.5
16,13773,1.5
16,14267,1.5
16,15013,1.5
16,19533,1.5
16,24737,1.5
17,2105,1.5
17,2284,1.5
17,3219,1.5
17,4422,1.5
17,5369,1.5
17,7739,1.5
17,11337,1.5
17,12987,1.5
17,13612,1.5
17,13674,1.5
17,14070,1.5
17,16233,1.5
18,30,1.5
18,43,1.5
18,50,1.5
18,54,1.5
18,60,1.5
18,118,1.5
18,168,1.5
18,206,1.5
