u1,u2,n_groups,n_venues,weight_idf
412,657,2,1,0.488479
412,962,2,1,0.488479
768,901,2,1,0.488479
201,996,2,1,0.488479
412,879,2,1,0.488479
69,471,2,1,0.488479
105,300,2,1,0.488479
201,879,2,1,0.488479
69,996,2,1,0.488479
201,817,2,1,0.488479
187,996,2,1,0.488479
943,1054,2,1,0.488479
140,485,2,1,0.488479
1,1014,2,1,0.488479
635,943,2,1,0.488479
515,906,2,1,0.488479
515,1014,2,1,0.488479
515,1030,2,1,0.488479
742,906,2,1,0.488479
742,1014,2,1,0.488479
742,1030,2,1,0.488479
745,838,2,1,0.488479
906,1014,2,1,0.488479
906,1030,2,1,0.488479
140,750,2,1,0.488479
485,604,2,1,0.488479
485,750,2,1,0.488479
1014,1030,2,1,0.488479
604,750,2,1,0.488479
495,742,2,1,0.488479
474,646,2,1,0.488479
442,495,2,1,0.488479
169,646,2,1,0.488479
167,442,2,1,0.488479
167,784,2,1,0.488479
169,962,2,1,0.488479
474,1030,2,1,0.488479
745,880,2,1,0.488479
260,471,2,1,0.488479
260,1014,2,1,0.488479
371,784,2,1,0.488479
471,1014,2,1,0.488479
458,471,2,1,0.488479
404,458,2,1,0.488479
404,791,2,1,0.488479
371,442,2,1,0.488479
458,791,2,1,0.488479
527,797,2,1,0.488479
797,1014,2,1,0.488479
199,784,2,1,0.488479
199,442,2,1,0.488479
635,1030,2,1,0.488479
474,906,2,1,0.488479
140,604,2,1,0.488479
508,619,2,1,0.488479
9,105,2,1,0.488479
90,267,2,1,0.488479
508,934,2,1,0.488479
657,934,2,1,0.488479
657,742,2,1,0.488479
267,619,2,1,0.488479
412,619,2,1,0.488479
619,742,2,1,0.488479
619,657,2,1,0.488479
23,463,2,1,0.488479
183,474,2,1,0.488479
619,842,2,1,0.488479
23,84,2,1,0.488479
464,889,2,1,0.488479
508,742,2,1,0.488479
90,1004,2,1,0.488479
364,464,2,1,0.488479
742,934,2,1,0.488479
20,619,2,1,0.488479
23,417,2,1,0.488479
99,934,2,1,0.488479
23,612,2,1,0.488479
23,633,2,1,0.488479
364,417,2,1,0.488479
364,612,2,1,0.488479
364,633,2,1,0.488479
934,1004,2,1,0.488479
417,633,2,1,0.488479
417,889,2,1,0.488479
612,633,2,1,0.488479
612,889,2,1,0.488479
633,889,2,1,0.488479
417,489,2,1,0.488479
489,612,2,1,0.488479
183,233,2,1,0.488479
439,489,2,1,0.488479
20,928,2,1,0.488479
464,779,2,1,0.488479
621,1000,2,1,0.488479
657,921,2,1,0.488479
84,201,2,1,0.488479
187,842,2,1,0.488479
657,1000,2,1,0.488479
921,1000,2,1,0.488479
464,745,2,1,0.488479
508,657,2,1,0.488479
99,508,2,1,0.488479
99,619,2,1,0.488479
99,657,2,1,0.488479
99,742,2,1,0.488479
471,842,2,1,0.488479
879,1054,2,1,0.488479
474,621,2,1,0.488479
90,922,2,1,0.488479
463,1054,2,1,0.488479
412,768,2,1,0.488479
201,463,2,1,0.488479
233,474,2,1,0.488479
90,471,2,1,0.488479
90,187,2,1,0.488479
325,876,2,2,0.484286
604,1054,2,2,0.483795
508,1000,2,2,0.483795
523,709,2,2,0.483197
102,809,1,1,0.480898
696,918,1,1,0.480898
136,992,1,1,0.480898
619,1005,1,1,0.480898
823,1077,1,1,0.480898
400,826,1,1,0.480898
334,1011,1,1,0.480898
360,851,1,1,0.480898
274,857,1,1,0.480898
212,662,1,1,0.480898
223,546,1,1,0.480898
48,401,1,1,0.480898
286,918,1,1,0.480898
286,696,1,1,0.480898
599,822,1,1,0.480898
276,1013,1,1,0.480898
476,887,1,1,0.480898
916,923,1,1,0.480898
110,360,1,1,0.480898
489,582,1,1,0.480898
143,272,1,1,0.480898
291,342,1,1,0.480898
143,1075,1,1,0.480898
187,1075,1,1,0.480898
272,1075,1,1,0.480898
548,806,1,1,0.480898
290,1023,1,1,0.480898
234,611,1,1,0.480898
143,187,1,1,0.480898
61,203,1,1,0.480898
499,577,1,1,0.480898
662,925,1,1,0.480898
291,324,1,1,0.480898
324,579,1,1,0.480898
313,731,1,1,0.480898
478,703,1,1,0.480898
545,1006,1,1,0.480898
336,665,1,1,0.480898
116,164,1,1,0.480898
104,328,1,1,0.480898
246,273,1,1,0.480898
208,518,1,1,0.480898
96,1049,1,1,0.480898
30,339,1,1,0.480898
309,953,1,1,0.480898
574,1007,1,1,0.480898
267,398,1,1,0.480898
701,751,1,1,0.480898
319,415,1,1,0.480898
218,406,1,1,0.480898
293,657,1,1,0.480898
585,730,1,1,0.480898
351,730,1,1,0.480898
986,1029,1,1,0.480898
136,427,1,1,0.480898
208,427,1,1,0.480898
768,887,1,1,0.480898
604,854,2,1,0.479112
521,744,2,1,0.479112
19,577,2,1,0.479112
167,413,2,1,0.479112
84,171,2,1,0.479112
365,521,2,1,0.479112
84,167,2,1,0.479112
489,892,2,1,0.479112
365,744,2,1,0.479112
806,827,2,1,0.479112
744,827,2,1,0.479112
365,806,2,1,0.479112
489,768,2,1,0.479112
365,827,2,1,0.479112
489,524,2,1,0.479112
516,521,2,1,0.479112
516,744,2,1,0.479112
489,508,2,1,0.479112
365,516,2,1,0.479112
508,524,2,1,0.479112
413,458,2,1,0.479112
84,418,2,1,0.479112
145,171,2,1,0.479112
145,474,2,1,0.479112
145,734,2,1,0.479112
167,171,2,1,0.479112
145,167,2,1,0.479112
768,892,2,1,0.479112
524,892,2,1,0.479112
171,418,2,1,0.479112
524,768,2,1,0.479112
171,474,2,1,0.479112
171,734,2,1,0.479112
84,734,2,1,0.479112
84,474,2,1,0.479112
508,892,2,1,0.479112
508,768,2,1,0.479112
439,734,2,1,0.479112
439,458,2,1,0.479112
527,638,2,1,0.479112
828,857,2,1,0.479112
527,856,2,1,0.479112
527,857,2,1,0.479112
638,828,2,1,0.479112
797,854,2,1,0.479112
742,854,2,1,0.479112
828,856,2,1,0.479112
238,311,2,1,0.479112
744,806,2,1,0.479112
311,474,2,1,0.479112
311,638,2,1,0.479112
311,856,2,1,0.479112
311,857,2,1,0.479112
604,742,2,1,0.479112
604,797,2,1,0.479112
527,828,2,1,0.479112
145,418,2,1,0.479112
458,474,2,1,0.479112
474,828,2,1,0.479112
364,508,2,1,0.479112
521,806,2,1,0.479112
521,827,2,1,0.479112
516,827,2,1,0.479112
364,524,2,1,0.479112
364,768,2,1,0.479112
364,445,2,1,0.479112
364,892,2,1,0.479112
238,828,2,1,0.479112
516,806,2,1,0.479112
445,508,2,1,0.479112
445,524,2,1,0.479112
445,892,2,1,0.479112
745,1071,2,2,0.478101
199,519,2,2,0.471028
125,892,2,1,0.469188
125,443,2,1,0.469188
125,321,2,1,0.469188
413,708,2,1,0.469188
798,915,2,2,0.459121
521,1050,2,1,0.457724
234,496,2,1,0.457724
522,1050,2,1,0.457724
